IATA_Code,Airport_Name,City,Country,Country_Code,Airport_Type
WFR,[Duplicate] Wolf's Fang Runway,Queen Maud Island,Antarctica,AQ,medium_airport
BBQ,Burton-Nibbs International Airport,Codrington,Antigua & Barbuda,AG,medium_airport
ANU,V. C. Bird International Airport,Osbourn,Antigua & Barbuda,AG,large_airport
BHI,Comandante Espora Airport,Bahía Blanca,Argentina,AR,medium_airport
AEP,Aeroparque Jorge Newbery,Buenos Aires,Argentina,AR,large_airport
EZE,Ezeiza International Airport - Ministro Pistarini,Buenos Aires (Ezeiza),Argentina,AR,large_airport
CTC,Coronel Felipe Varela International Airport,Catamarca,Argentina,AR,medium_airport
CPC,Aviador C. Campos Airport,Chapelco-San Martin de los Andes,Argentina,AR,medium_airport
CRD,General Enrique Mosconi International Airport,Comodoro Rivadavia,Argentina,AR,large_airport
COC,Comodoro Pierrestegui Airport,Concordia,Argentina,AR,medium_airport
COR,Ingeniero Aeronáutico Ambrosio L.V. Taravella International Airport,Cordoba,Argentina,AR,large_airport
CNQ,Corrientes Airport,Corrientes,Argentina,AR,medium_airport
UZU,Curuzu Cuatia Airport,Curuzu Cuatia,Argentina,AR,medium_airport
CUT,Cutral-Co Airport,Cutral-Co,Argentina,AR,medium_airport
EHL,El Bolsón Airfield,El Bolsón,Argentina,AR,medium_airport
FTE,El Calafate - Commander Armando Tola International Airport,El Calafate,Argentina,AR,large_airport
EPA,El Palomar Airport,El Palomar,Argentina,AR,medium_airport
EQS,Esquel Brigadier Antonio Parodi International Airport,Esquel,Argentina,AR,medium_airport
FMA,Formosa National Airport,Formosa,Argentina,AR,medium_airport
GPO,General Pico Airport,General Pico,Argentina,AR,medium_airport
OYA,Goya Airport,Goya,Argentina,AR,medium_airport
GHU,Gualeguaychu Airport,Gualeguaychu,Argentina,AR,medium_airport
LPG,La Plata Airport,La Plata,Argentina,AR,medium_airport
IRJ,Capitan V A Almonacid Airport,La Rioja,Argentina,AR,medium_airport
LHS,Las Heras Airport,Las Heras,Argentina,AR,medium_airport
LGS,Comodoro D.R. Salomón Airport,Malargue,Argentina,AR,medium_airport
MDQ,Ástor Piazzola International Airport,Mar del Plata,Argentina,AR,medium_airport
MDZ,Governor Francisco Gabrielli International Airport,Mendoza,Argentina,AR,large_airport
MCS,Monte Caseros Airport,Monte Caseros,Argentina,AR,medium_airport
NEC,Necochea Airport,Necochea,Argentina,AR,medium_airport
NQN,Presidente Perón International Airport,Neuquén,Argentina,AR,large_airport
ORA,Orán Airport,Orán,Argentina,AR,medium_airport
PRA,General Urquiza Airport,Parana,Argentina,AR,medium_airport
AOL,Paso De Los Libres Airport,Paso de los Libres,Argentina,AR,medium_airport
PEH,Comodoro Pedro Zanni Airport,Pehuajó,Argentina,AR,medium_airport
PMQ,Perito Moreno Jalil Hamer Airport,Perito Moreno,Argentina,AR,medium_airport
PSS,Libertador Gral D Jose De San Martin Airport,Posadas,Argentina,AR,medium_airport
PUD,Puerto Deseado Airport,Puerto Deseado,Argentina,AR,medium_airport
IGR,Cataratas Del Iguazú International Airport,Puerto Iguazu,Argentina,AR,medium_airport
PMY,El Tehuelche Airport,Puerto Madryn,Argentina,AR,medium_airport
RZA,Santa Cruz Airport,Puerto Santa Cruz,Argentina,AR,medium_airport
REL,Almirante Marco Andres Zar Airport,Rawson,Argentina,AR,medium_airport
RCQ,Reconquista Airport,Reconquista,Argentina,AR,medium_airport
RES,Resistencia International Airport,Resistencia,Argentina,AR,large_airport
RDS,Rincon De Los Sauces Airport,Rincon de los Sauces,Argentina,AR,medium_airport
RCU,Area De Material Airport,Rio Cuarto,Argentina,AR,medium_airport
RGL,Piloto Civil Norberto Fernández International Airport,Rio Gallegos,Argentina,AR,large_airport
RGA,Gobernador Ramón Trejo Noel International Airport,Rio Grande,Argentina,AR,medium_airport
ROS,Rosario Islas Malvinas International Airport,Rosario,Argentina,AR,large_airport
SLA,Martín Miguel de Güemes International Airport,Salta,Argentina,AR,large_airport
BRC,Teniente Luis Candelaria International Airport,San Carlos de Bariloche,Argentina,AR,large_airport
UAQ,Domingo Faustino Sarmiento Airport,San Juan,Argentina,AR,medium_airport
ULA,Capitan D Daniel Vazquez Airport,San Julian,Argentina,AR,medium_airport
LUQ,Brigadier Mayor D Cesar Raul Ojeda Airport,San Luis,Argentina,AR,medium_airport
TUC,Teniente Benjamín Matienzo International Airport,San Miguel de Tucumán,Argentina,AR,large_airport
AFA,Suboficial Ay Santiago Germano Airport,San Rafael,Argentina,AR,medium_airport
JUJ,Gobernador Horacio Guzman International Airport,San Salvador de Jujuy,Argentina,AR,large_airport
SFN,Sauce Viejo Airport,Santa Fe,Argentina,AR,medium_airport
RSA,Santa Rosa Airport,Santa Rosa,Argentina,AR,medium_airport
SST,Santa Teresita Airport,Santa Teresita,Argentina,AR,medium_airport
SDE,Vicecomodoro Angel D. La Paz Aragonés Airport,Santiago del Estero,Argentina,AR,medium_airport
TDL,Héroes de Malvinas Airport,Tandil,Argentina,AR,medium_airport
TTG,General Enrique Mosconi Airport,Tartagal,Argentina,AR,medium_airport
RHD,Termas de Río Hondo international Airport,Termas de Río Hondo,Argentina,AR,medium_airport
OYO,Tres Arroyos Airport,Tres Arroyos,Argentina,AR,medium_airport
USH,Ushuaia - Malvinas Argentinas International Airport,Ushuaia,Argentina,AR,medium_airport
VDM,Gobernador Castello Airport,Viedma - Carmen de Patagones,Argentina,AR,medium_airport
VDR,Villa Dolores Airport,Villa Dolores,Argentina,AR,medium_airport
VLG,Villa Gesell Airport,Villa Gesell,Argentina,AR,medium_airport
VME,Villa Reynolds Airport,Villa Mercedes,Argentina,AR,medium_airport
APZ,Zapala Airport,Zapala,Argentina,AR,medium_airport
LWN,Shirak International Airport,Gyumri,Armenia,AM,large_airport
EVN,Zvartnots International Airport,Yerevan,Armenia,AM,large_airport
AUA,Queen Beatrix International Airport,Oranjestad,Aruba,AW,large_airport
ADL,Adelaide International Airport,Adelaide,Australia,AU,large_airport
ALH,Albany Airport,Albany,Australia,AU,medium_airport
WOL,Shellharbour Airport,Albion Park Rail,Australia,AU,medium_airport
ASP,Alice Springs Airport,Alice Springs,Australia,AU,medium_airport
ARY,Ararat Airport,Ararat,Australia,AU,medium_airport
ARM,Armidale Airport,Armidale,Australia,AU,medium_airport
BSJ,Bairnsdale Airport,Bairnsdale,Australia,AU,medium_airport
BNK,Ballina Byron Gateway Airport,Ballina,Australia,AU,medium_airport
BCI,Barcaldine Airport,Barcaldine,Australia,AU,medium_airport
BHS,Bathurst Airport,Bathurst,Australia,AU,medium_airport
BEU,Bedourie Airport,Bedourie,Australia,AU,medium_airport
BLN,Benalla Airport,Benalla,Australia,AU,medium_airport
THG,Thangool Airport,Biloela,Australia,AU,medium_airport
BKQ,Blackall Airport,Blackall,Australia,AU,medium_airport
BNE,Brisbane International Airport,Brisbane,Australia,AU,large_airport
KGI,Kalgoorlie Boulder Airport,Broadwood,Australia,AU,medium_airport
BHQ,Broken Hill Airport,Broken Hill,Australia,AU,medium_airport
BME,Broome International Airport,Broome,Australia,AU,large_airport
BDB,Bundaberg Airport,Bundaberg,Australia,AU,medium_airport
BWT,Wynyard Airport,Burnie,Australia,AU,medium_airport
CNS,Cairns International Airport,Cairns,Australia,AU,large_airport
CBR,Canberra Airport,Canberra,Australia,AU,medium_airport
CVQ,Carnarvon Airport,Carnarvon,Australia,AU,medium_airport
CTL,Charleville Airport,Charleville,Australia,AU,medium_airport
CCL,Chinchilla Airport,Chinchilla,Australia,AU,medium_airport
CNJ,Cloncurry Airport,Cloncurry,Australia,AU,medium_airport
CDU,Camden Airport,Cobbitty,Australia,AU,medium_airport
CUQ,Coen Airport,Coen,Australia,AU,medium_airport
CFS,Coffs Harbour Airport,Coffs Harbour,Australia,AU,medium_airport
CPD,Coober Pedy Airport,Coober Pedy,Australia,AU,medium_airport
OOM,Cooma Snowy Mountains Airport,Cooma,Australia,AU,medium_airport
DRW,Darwin International Airport - RAAF Darwin,Darwin,Australia,AU,large_airport
MJK,Shark Bay Airport,Denham,Australia,AU,medium_airport
DNQ,Deniliquin Airport,Deniliquin,Australia,AU,medium_airport
DRB,Derby Airport,Derby,Australia,AU,medium_airport
DCN,RAAF Base Curtin,Derby,Australia,AU,medium_airport
DPO,Devonport Airport,Devonport,Australia,AU,medium_airport
DBO,Dubbo City Regional Airport,Dubbo,Australia,AU,medium_airport
ABX,Albury Airport,East Albury,Australia,AU,medium_airport
ELC,Elcho Island Airport,Elcho Island,Australia,AU,medium_airport
EMD,Emerald Airport,Emerald,Australia,AU,medium_airport
EPR,Esperance Airport,Esperance,Australia,AU,medium_airport
MEB,Melbourne Essendon Airport,Essendon Fields,Australia,AU,medium_airport
LEA,Learmonth Airport,Exmouth,Australia,AU,medium_airport
FRB,Forbes Airport,Forbes,Australia,AU,medium_airport
WGA,Wagga Wagga Airport,Forest Hill,Australia,AU,medium_airport
AVV,Melbourne Avalon International Airport,Geelong-Melbourne,Australia,AU,large_airport
GLT,Gladstone Airport,Gladstone,Australia,AU,medium_airport
GLI,Glen Innes Airport,Glen Innes,Australia,AU,medium_airport
OOL,Gold Coast Airport,Gold Coast,Australia,AU,large_airport
GFN,Clarence Valley Regional Airport,Grafton,Australia,AU,medium_airport
GFF,Griffith Airport,Griffith,Australia,AU,medium_airport
GTE,Groote Eylandt Airport,Groote Eylandt,Australia,AU,medium_airport
HTI,Hamilton Island Airport,Hamilton Island,Australia,AU,medium_airport
HVB,Hervey Bay Airport,Hervey Bay,Australia,AU,medium_airport
HBA,Hobart International Airport,Hobart (Cambridge),Australia,AU,large_airport
HID,Horn Island Airport,Horn,Australia,AU,medium_airport
IVR,Inverell Airport,Inverell,Australia,AU,medium_airport
KTA,Karratha Airport,Karratha,Australia,AU,medium_airport
KWM,Kowanyama Airport,Kowanyama,Australia,AU,medium_airport
KNX,East Kimberley Regional (Kununurra) Airport,Kununurra,Australia,AU,medium_airport
WGT,Wangaratta Airport,Laceby,Australia,AU,medium_airport
LST,Launceston Airport,Launceston (Western Junction),Australia,AU,medium_airport
LNO,Leonora Airport,Leonora,Australia,AU,medium_airport
LSY,Lismore Airport,Lismore,Australia,AU,medium_airport
IRG,Lockhart River Airport,Lockhart River,Australia,AU,medium_airport
LRE,Longreach Airport,Longreach,Australia,AU,medium_airport
MKY,Mackay Airport,Mackay,Australia,AU,medium_airport
MNG,Maningrida Airport,Maningrida,Australia,AU,medium_airport
MRG,Mareeba Airport,Mareeba,Australia,AU,medium_airport
MCY,Sunshine Coast Airport,Maroochydore,Australia,AU,large_airport
MEL,Melbourne Airport,Melbourne,Australia,AU,large_airport
MBW,Melbourne Moorabbin Airport,Melbourne,Australia,AU,medium_airport
MIM,Merimbula Airport,Merimbula,Australia,AU,medium_airport
MQL,Mildura Airport,Mildura,Australia,AU,medium_airport
SNB,Snake Bay Airport,Milikapiti,Australia,AU,medium_airport
GET,Geraldton Airport,Moonyoonooka,Australia,AU,medium_airport
MOV,Moranbah Airport,Moranbah,Australia,AU,medium_airport
MRZ,Moree Airport,Moree,Australia,AU,medium_airport
MYA,Moruya Airport,Moruya,Australia,AU,medium_airport
TGN,Latrobe Valley Airport,Morwell,Australia,AU,medium_airport
MGB,Mount Gambier Airport,Mount Gambier,Australia,AU,medium_airport
MHU,Mount Hotham Airport,Mount Hotham,Australia,AU,medium_airport
ISA,Mount Isa Airport,Mount Isa,Australia,AU,medium_airport
DGE,Mudgee Airport,Mudgee,Australia,AU,medium_airport
NAA,Narrabri Airport,Narrabri,Australia,AU,medium_airport
NRA,Narrandera Airport,Narrandera,Australia,AU,medium_airport
ZNE,Newman Airport,Newman,Australia,AU,medium_airport
GOV,Gove Airport,Nhulunbuy,Australia,AU,medium_airport
NTN,Normanton Airport,Normanton,Australia,AU,medium_airport
NOA,Naval Air Station Nowra - HMAS Albatross,Nowra Hill,Australia,AU,medium_airport
OAG,Orange Airport,Orange,Australia,AU,medium_airport
PBO,Paraburdoo Airport,Paraburdoo,Australia,AU,medium_airport
PKE,Parkes Airport,Parkes,Australia,AU,medium_airport
PER,Perth International Airport,Perth,Australia,AU,large_airport
JAD,Perth Jandakot Airport,Perth,Australia,AU,medium_airport
GPN,Garden Point Airport,Pirlangimpi,Australia,AU,medium_airport
PHE,Port Hedland International Airport,Port Hedland,Australia,AU,large_airport
PLO,Port Lincoln Airport,Port Lincoln,Australia,AU,medium_airport
PQQ,Port Macquarie Airport,Port Macquarie,Australia,AU,medium_airport
PPP,Proserpine Whitsunday Coast Airport,Proserpine,Australia,AU,medium_airport
XRH,RAAF Base Richmond,Richmond,Australia,AU,medium_airport
ROK,Rockhampton Airport,Rockhampton,Australia,AU,medium_airport
RMA,Roma Airport,Roma,Australia,AU,medium_airport
RPM,Ngukurr Airport,Roper River,Australia,AU,medium_airport
SXE,West Sale Airport,Sale,Australia,AU,medium_airport
BWU,Sydney Bankstown Airport,Sydney,Australia,AU,medium_airport
WSI,[Duplicate] Western Sydney International Airport,Sydney,Australia,AU,large_airport
SYD,Sydney Kingsford Smith International Airport,Sydney (Mascot),Australia,AU,large_airport
TMW,Tamworth Airport,Tamworth,Australia,AU,medium_airport
TRO,Taree Airport,Taree,Australia,AU,medium_airport
TEM,Temora Airport,Temora,Australia,AU,medium_airport
TCA,Tennant Creek Airport,Tennant Creek,Australia,AU,medium_airport
XTG,Thargomindah Airport,Thargomindah,Australia,AU,medium_airport
WTB,Toowoomba Wellcamp Airport,Toowoomba,Australia,AU,large_airport
TSV,Townsville Airport - RAAF Base Townsville,Townsville,Australia,AU,medium_airport
TUM,Tumut Aerodrome,Tumut,Australia,AU,medium_airport
PKT,Port Keats Airport,Wadeye,Australia,AU,medium_airport
WEI,Weipa Airport,Weipa,Australia,AU,medium_airport
WWY,West Wyalong Airport,West Wyalong,Australia,AU,medium_airport
WYA,Whyalla Airport,Whyalla,Australia,AU,medium_airport
NTL,Newcastle Airport,Williamtown,Australia,AU,large_airport
WNR,Windorah Airport,Windorah,Australia,AU,medium_airport
BRT,Bathurst Island Airport,Wurrumiyanga,Australia,AU,medium_airport
AYQ,Ayers Rock Connellan Airport,Yulara,Australia,AU,medium_airport
BZD,Balranald Airport,,Australia,AU,medium_airport
BVI,Birdsville Airport,,Australia,AU,medium_airport
BLT,Blackwater Airport,,Australia,AU,medium_airport
BQL,Boulia Airport,,Australia,AU,medium_airport
BRK,Bourke Airport,,Australia,AU,medium_airport
BWQ,Brewarrina Airport,,Australia,AU,medium_airport
CED,Ceduna Airport,,Australia,AU,medium_airport
CMQ,Clermont Airport,,Australia,AU,medium_airport
CVC,Cleve Airport,,Australia,AU,medium_airport
CAZ,Cobar Airport,,Australia,AU,medium_airport
CTN,Cooktown Airport,,Australia,AU,medium_airport
COJ,Coonabarabran Airport,,Australia,AU,medium_airport
CNB,Coonamble Airport,,Australia,AU,medium_airport
CMD,Cootamundra Airport,,Australia,AU,medium_airport
CWW,Corowa Airport,,Australia,AU,medium_airport
CYG,Corryong Airport,,Australia,AU,medium_airport
CWT,Cowra Airport,,Australia,AU,medium_airport
CMA,Cunnamulla Airport,,Australia,AU,medium_airport
DRN,Dirranbandi Airport,,Australia,AU,medium_airport
DYA,Dysart Airport,,Australia,AU,medium_airport
ECH,Echuca Airport,,Australia,AU,medium_airport
WHB,Eliwana,,Australia,AU,medium_airport
FIZ,Fitzroy Crossing Airport,,Australia,AU,medium_airport
FOS,Forrest Airport,,Australia,AU,medium_airport
GUL,Goulburn Airport,,Australia,AU,medium_airport
GUH,Gunnedah Airport,,Australia,AU,medium_airport
HCQ,Halls Creek Airport,,Australia,AU,medium_airport
HLT,Hamilton Airport,,Australia,AU,medium_airport
HXX,Hay Airport,,Australia,AU,medium_airport
HTU,Hopetoun Airport,,Australia,AU,medium_airport
HSM,Horsham Airport,,Australia,AU,medium_airport
KPS,Kempsey Airport,,Australia,AU,medium_airport
KRA,Kerang Airport,,Australia,AU,medium_airport
KNS,King Island Airport,,Australia,AU,medium_airport
KGY,Kingaroy Airport,,Australia,AU,medium_airport
KGC,Kingscote Airport,,Australia,AU,medium_airport
LGH,Leigh Creek Airport,,Australia,AU,medium_airport
LER,Leinster Airport,,Australia,AU,medium_airport
LHG,Lightning Ridge Airport,,Australia,AU,medium_airport
RRE,Marree Airport,,Australia,AU,medium_airport
MKR,Meekatharra Airport,,Australia,AU,medium_airport
WME,Mount Keith Airport,,Australia,AU,medium_airport
MMG,Mount Magnet Airport,,Australia,AU,medium_airport
QRM,Narromine Airport,,Australia,AU,medium_airport
OKY,Oakey Army Aviation Centre,,Australia,AU,medium_airport
PUG,Port Augusta Airport,,Australia,AU,medium_airport
PPI,Port Pirie Airport,,Australia,AU,medium_airport
PTJ,Portland Airport,,Australia,AU,medium_airport
ULP,Quilpie Airport,,Australia,AU,medium_airport
RMK,Renmark Airport,,Australia,AU,medium_airport
SHT,Shepparton Airport,,Australia,AU,medium_airport
SIO,Smithton Airport,,Australia,AU,medium_airport
SWC,Stawell Airport,,Australia,AU,medium_airport
SWH,Swan Hill Airport,,Australia,AU,medium_airport
TEF,Telfer Airport,,Australia,AU,medium_airport
TYB,Tibooburra Airport,,Australia,AU,medium_airport
KTR,Tindal Airport,,Australia,AU,medium_airport
WGE,Walgett Airport,,Australia,AU,medium_airport
WKB,Warracknabeal Airport,,Australia,AU,medium_airport
WUN,Wiluna Airport,,Australia,AU,medium_airport
WIN,Winton Airport,,Australia,AU,medium_airport
NGA,Young Airport,,Australia,AU,medium_airport
GRZ,Graz Airport,Feldkirchen bei Graz,Austria,AT,large_airport
INN,Innsbruck Airport,Innsbruck,Austria,AT,large_airport
KLU,Klagenfurt Airport,Klagenfurt am Wörthersee,Austria,AT,large_airport
LNZ,Linz-Hörsching Airport,Linz,Austria,AT,large_airport
SZG,Salzburg Airport,Salzburg,Austria,AT,large_airport
VIE,Vienna International Airport,Vienna,Austria,AT,large_airport
GYD,Heydar Aliyev International Airport,Baku,Azerbaijan,AZ,large_airport
GBB,Gabala International Airport,Gabala,Azerbaijan,AZ,medium_airport
GNJ,Ganja International Airport,Ganja,Azerbaijan,AZ,large_airport
LHL,Lachin International Airport,Lachin,Azerbaijan,AZ,medium_airport
NAJ,Nakhchivan International Airport,Nakhchivan,Azerbaijan,AZ,large_airport
ZXT,Zabrat Airport,Zabrat,Azerbaijan,AZ,medium_airport
ZTU,Zaqatala International Airport,Zaqatala,Azerbaijan,AZ,medium_airport
MYG,Mayaguana Airport,Abraham Bay Settlement,Bahamas,BS,medium_airport
TZN,Congo Town Airport,Andros,Bahamas,BS,medium_airport
SAQ,San Andros Airport,Andros Island,Bahamas,BS,medium_airport
ASD,Andros Town Airport,Andros Town,Bahamas,BS,medium_airport
ATC,Arthur's Town Airport,Arthur's Town,Bahamas,BS,medium_airport
GHC,Great Harbour Cay Airport,Bullocks Harbour,Bahamas,BS,medium_airport
TBI,New Bight Airport,Cat Island,Bahamas,BS,medium_airport
CCZ,Chub Cay Airport,Chub Cay,Bahamas,BS,medium_airport
CRI,Colonel Hill Airport,Colonel Hill,Bahamas,BS,medium_airport
LGI,Deadman's Cay Airport,Deadman's Cay,Bahamas,BS,medium_airport
DCT,Duncan Town Airport,Duncan Town,Bahamas,BS,medium_airport
FPO,Grand Bahama International Airport,Freeport,Bahamas,BS,large_airport
GHB,Governor's Harbour Airport,Governor's Harbour,Bahamas,BS,medium_airport
MAY,Clarence A. Bain Airport,Mangrove Cay,Bahamas,BS,medium_airport
MHH,Leonard M. Thompson International Airport,Marsh Harbour,Bahamas,BS,medium_airport
IGA,Inagua Airport,Matthew Town,Bahamas,BS,medium_airport
GGT,Exuma International Airport,Moss Town,Bahamas,BS,medium_airport
NAS,Lynden Pindling International Airport,Nassau,Bahamas,BS,large_airport
NMC,Normans Cay Airport,Normans Cay,Bahamas,BS,medium_airport
ELH,North Eleuthera Airport,North Eleuthera,Bahamas,BS,medium_airport
RSD,Rock Sound International Airport,Rock Sound,Bahamas,BS,medium_airport
ZSA,San Salvador International Airport,San Salvador,Bahamas,BS,large_airport
BIM,South Bimini Airport,South Bimini,Bahamas,BS,medium_airport
AXP,Spring Point Airport,Spring Point,Bahamas,BS,medium_airport
TYM,Staniel Cay Airport,Staniel Cay,Bahamas,BS,medium_airport
SML,Stella Maris Airport,Stella Maris,Bahamas,BS,medium_airport
TCB,Treasure Cay Airport,Treasure Cay,Bahamas,BS,medium_airport
BAH,Bahrain International Airport,Manama,Bahrain,BH,large_airport
BZL,Barisal Airport,Barisal,Bangladesh,BD,medium_airport
CGP,Shah Amanat International Airport,Chattogram (Chittagong),Bangladesh,BD,large_airport
CXB,Cox's Bazar Airport,Cox's Bazar,Bangladesh,BD,medium_airport
DAC,Hazrat Shahjalal International Airport,Dhaka,Bangladesh,BD,large_airport
IRD,Ishurdi Airport,Ishurdi,Bangladesh,BD,medium_airport
JSR,Jessore Airport,Jashore (Jessore),Bangladesh,BD,medium_airport
RJH,Shah Makhdum Airport,Rajshahi,Bangladesh,BD,medium_airport
SPD,Saidpur Airport,Saidpur,Bangladesh,BD,medium_airport
ZYL,Osmany International Airport,Sylhet,Bangladesh,BD,large_airport
BGI,Grantley Adams International Airport,Bridgetown,Barbados,BB,large_airport
BQT,Brest International Airport,Brest,Belarus,BY,large_airport
GME,Gomel Airport,Gomel,Belarus,BY,medium_airport
GNA,Hrodna Airport,Hrodna,Belarus,BY,medium_airport
MSQ,Minsk National Airport,Minsk,Belarus,BY,large_airport
MVQ,Mogilev Airport,Mogilev,Belarus,BY,medium_airport
TXC,Orsha Airport - Balbasovo Air Base,Orsha,Belarus,BY,medium_airport
VTB,Vitebsk Vostochny Airport,Vitebsk,Belarus,BY,medium_airport
ANR,Antwerp International Airport (Deurne),Antwerp,Belgium,BE,medium_airport
CRL,Brussels South Charleroi Airport,Charleroi,Belgium,BE,large_airport
LGG,Liège Airport,Grâce-Hollogne,Belgium,BE,medium_airport
OST,Ostend-Bruges International Airport,Oostende,Belgium,BE,large_airport
KJK,Kortrijk-Wevelgem International Airport,Wevelgem,Belgium,BE,medium_airport
BRU,Brussels Airport,Zaventem,Belgium,BE,large_airport
BZE,Philip S. W. Goldson International Airport,Belize City,Belize,BZ,large_airport
TZA,Sir Barry Bowen Municipal Airport,Belize City,Belize,BZ,medium_airport
CUK,Caye Caulker Airport,Caye Caulker,Belize,BZ,medium_airport
