Title,Price,Link,Image Link
Apple iPhone 15 - 128GB - Rosé (Ohne Simlock),"EUR 347,00",https://www.ebay.de/itm/298153113914,https://i.ebayimg.com/images/g/bgQAAeSwYhhpwULU/s-l140.jpg
"Apple iPhone 13 grün, entsperrt, 128GB - OVP","EUR 229,21",https://www.ebay.de/itm/306840309400,https://i.ebayimg.com/images/g/VukAAeSwi2Fpwmmm/s-l140.jpg
Apple iPhone 15 128GB 5G Fabrik entsperrt Brandneu Zustand Handy alle Farben,"EUR 355,63",https://www.ebay.de/itm/206162495886,https://i.ebayimg.com/images/g/XogAAeSw9RFpvXyw/s-l140.jpg
"Apple iPhone 13 - Schwarz, 128GB, ohne Simlock, SEHR GUT.",,https://www.ebay.de/itm/236721380532,https://i.ebayimg.com/images/g/ZXUAAeSwWyhpyPsk/s-l140.jpg
Apple iPhone 13 128GB Starlight Weiß ohne Simlock,"EUR 213,00",https://www.ebay.de/itm/397747905642,https://i.ebayimg.com/images/g/vKEAAeSwrmFpwB4L/s-l140.jpg
iPhone 13 256GB Midnight Blau Ohne Simlock 98% Batterie Top Zustand,"EUR 220,00",https://www.ebay.de/itm/397764913001,https://i.ebayimg.com/images/g/7LAAAeSwdipppycl/s-l140.jpg
Apple iPhone 13 256GB Rot,,https://www.ebay.de/itm/157788510147,https://i.ebayimg.com/images/g/~xgAAeSwd0BpvE-~/s-l140.jpg
Apple iPhone 15 - Pink 128 GB - ohne Simlock,"EUR 328,17",https://www.ebay.de/itm/257426256604,https://i.ebayimg.com/images/g/o0MAAeSwmFBpxRRO/s-l140.jpg
"iPhone 13 128 GB Grün Sehr Guter Zustand , gebraucht","EUR 201,00",https://www.ebay.de/itm/267615835067,https://i.ebayimg.com/images/g/WlcAAeSw95tpvvX3/s-l140.jpg
Apple iPhone 15 - 128GB - Rosé (o.Simlock),"EUR 341,00",https://www.ebay.de/itm/117104137381,https://i.ebayimg.com/images/g/RyMAAeSwQQ9pwZeX/s-l140.jpg
Apple iPhone 13 128GB Rose,"EUR 200,00",https://www.ebay.de/itm/389779566993,https://i.ebayimg.com/images/g/EVIAAeSwNKxptahC/s-l140.jpg
Apple iPhone 15 128GB Rosa Rose Pink ohne Simlock,"EUR 334,00",https://www.ebay.de/itm/277821633084,https://i.ebayimg.com/images/g/pmMAAeSwJetpvi8D/s-l140.jpg
Apple iPhone 13 - 128GB - Mitternacht (Ohne Simlock) (Dual-SIM),"EUR 226,00",https://www.ebay.de/itm/198210602294,https://i.ebayimg.com/images/g/rKYAAeSwH~dpvgSk/s-l140.jpg
Apple iPhone 15 / 128GB/  Rosa Rose Pink ohne Simlock,"EUR 334,00",https://www.ebay.de/itm/257417951903,https://i.ebayimg.com/images/g/7uAAAeSwmsVpvqhL/s-l140.jpg
Apple iPhone 13 - 256GB - Starlight (Ohne Simlock) (Dual-SIM),"EUR 220,95",https://www.ebay.de/itm/306842033333,https://i.ebayimg.com/images/g/gGYAAeSwGB9pw6Qh/s-l140.jpg
Apple I Phone 15 128GB rosé voll Funktionsfähig an Bastler,,https://www.ebay.de/itm/327071592614,https://i.ebayimg.com/images/g/DyQAAeSwarppxouz/s-l140.jpg
iPhone 13 128GB Starlight Netzwerk entsperrt iOS18 Akku Service 66% Grade Fair,"EUR 224,64",https://www.ebay.de/itm/127771967267,https://i.ebayimg.com/images/g/QFoAAeSwyX9peIB5/s-l140.jpg
Apple iPhone 13 - 128GB - Mitternacht  Midnight (Ohne Simlock) Gepflegt ,"EUR 201,00",https://www.ebay.de/itm/277817172043,https://i.ebayimg.com/images/g/6HcAAeSwd0BpumsU/s-l140.jpg
Apple iPhone 13 - 128GB - Blau (Ohne Simlock) (Dual-SIM),"EUR 202,00",https://www.ebay.de/itm/306827750967,https://i.ebayimg.com/images/g/WMYAAeSwtZdpuYYc/s-l140.jpg
"APPLE iPhone 15 5G 128 GB 6,1 Zoll DualSIM 48 MP 4K Video rosé MTP13ZD/A B-Ware","EUR 396,05",https://www.ebay.de/itm/358355519495,https://i.ebayimg.com/images/g/I-gAAeSwSEFpso2c/s-l140.jpg
"Apple iPhone 13, 256GB, (PRODUCT) RED, Baujahr 2022, wie neu, OVP",,https://www.ebay.de/itm/147218089389,https://i.ebayimg.com/images/g/aawAAeSwJe1ptuir/s-l140.jpg
Apple iPhone 15 - 128GB - Rosé (Ohne Simlock),"EUR 303,00",https://www.ebay.de/itm/306823866439,https://i.ebayimg.com/images/g/sVMAAeSwVZdptvUg/s-l140.jpg
Joblot iPhone 13 x2 GSM+CDMA 4GB RAM 128GB Midnight Unlocked SmartPhone Cracked,"EUR 252,72",https://www.ebay.de/itm/127757356018,https://i.ebayimg.com/images/g/ENgAAeSwkshpu~~l/s-l140.jpg
Apple iPhone 13 - 128GB - Mitternacht (Ohne Simlock) (Dual-SIM),"EUR 200,00",https://www.ebay.de/itm/389750828641,https://i.ebayimg.com/images/g/QuAAAeSwwRlptofo/s-l140.jpg
iPhone 13 schwarz Top Zustand,"EUR 200,00",https://www.ebay.de/itm/236679351703,https://i.ebayimg.com/images/g/cIoAAeSwlNtpsGuM/s-l140.jpg
iPhone 13 Weiß Top Zustand ,"EUR 206,00",https://www.ebay.de/itm/236677613523,https://i.ebayimg.com/images/g/26EAAeSwSn9pru4i/s-l140.jpg
Apple iPhone 15 128 GB Rosa Ohne Simlock,"EUR 304,00",https://www.ebay.de/itm/287206117331,https://i.ebayimg.com/images/g/UuEAAeSwq1pptrgM/s-l140.jpg
Apple iPhone 13 Mitternachtsblau 128 GB — Zustand: Sehr Gut Wie Neu,"EUR 213,00",https://www.ebay.de/itm/287205908647,https://i.ebayimg.com/images/g/RmEAAeSw635ptpaz/s-l140.jpg
"Apple iPhone 13mini 512GB, (PRODUCT) Red, Dual-SIM, Ohne Simlock","EUR 274,00",https://www.ebay.de/itm/127745617086,https://i.ebayimg.com/images/g/t6UAAeSwtj1ptsG5/s-l140.jpg
Apple iPhone 13 - 128GB - Mitternacht (Ohne Simlock) (,"EUR 202,00",https://www.ebay.de/itm/389751074520,https://i.ebayimg.com/images/g/mFkAAeSw0fxptpa6/s-l140.jpg
iPhone 15 Pink 128GB,"EUR 301,00",https://www.ebay.de/itm/366276147479,https://i.ebayimg.com/images/g/vcUAAeSwKhJptpAV/s-l140.jpg
Apple iPhone 13 - 128GB - Blau (Ohne Simlock) - Sehr guter Zustand - 2022,"EUR 204,95",https://www.ebay.de/itm/236689467143,https://i.ebayimg.com/images/g/iy4AAeSwk6RptoIb/s-l140.jpg
"Apple iPhone 13 - Starlight, 128 GB, ohne Simlock","EUR 203,22",https://www.ebay.de/itm/117088839192,https://i.ebayimg.com/images/g/p3IAAeSwy8FptnLJ/s-l140.jpg
Apple iPhone 13 – Midnight Blue – 128 GB,"EUR 200,00",https://www.ebay.de/itm/267534852196,https://i.ebayimg.com/images/g/QrwAAeSwJwJpXMMD/s-l140.jpg
iPhone 13 mit 128 GB in Midnight - sehr guter Zustand von PRIVAT zu verkaufen,"EUR 200,09",https://www.ebay.de/itm/227151437563,https://i.ebayimg.com/images/g/PbUAAeSwB9lpQ-Kt/s-l140.jpg
Apple iPhone 13 - 256GB - Blau (Ohne Simlock) (Dual-SIM),"EUR 216,00",https://www.ebay.de/itm/326937087784,https://i.ebayimg.com/images/g/kY8AAeSwdBxpVm8w/s-l140.jpg
iPhone 13 128GB Blau,"EUR 215,00",https://www.ebay.de/itm/236558884042,https://i.ebayimg.com/images/g/4RQAAeSwFP9pTRVr/s-l140.jpg
iPhone 13 - 128 GB inkl Zubehörpaket- 86% Akkukapazität,"EUR 209,01",https://www.ebay.de/itm/205972267924,https://i.ebayimg.com/images/g/YN0AAeSwj8VpWsau/s-l140.jpg
"Apple iPhone 13 - Blau, 128 GB, ohne Simlock","EUR 212,00",https://www.ebay.de/itm/297907066460,https://i.ebayimg.com/images/g/RgwAAeSwy6lpWrxV/s-l140.jpg
Apple iPhone 13 - 128GB - Polarstern -  Ohne Simlock,"EUR 203,00",https://www.ebay.de/itm/297900147770,https://i.ebayimg.com/images/g/dYsAAeSw5n9pV6wq/s-l140.jpg
Apple iPhone 13 128GB Midnight Black Entsperrt Top Zustand Voll Funktionsfähig ,"EUR 269,22",https://www.ebay.de/itm/389462655168,https://i.ebayimg.com/images/g/8VkAAeSwistoseHH/s-l140.jpg
Apple iPhone 15 - 128GB - Pink / Rosé - Ohne Simlock - Akku 89 %,"EUR 361,00",https://www.ebay.de/itm/177743287368,https://i.ebayimg.com/images/g/sWwAAeSw~eVpVUWr/s-l140.jpg
iPhone 13 128GB grün mit OVP - sehr guter Zustand,"EUR 206,00",https://www.ebay.de/itm/127592780187,https://i.ebayimg.com/images/g/x80AAeSwFdppU7vN/s-l140.jpg
Apple iPhone 13 128GB Midnight Black Entsperrt Top Zustand Voll Funktionsfähig ,"EUR 273,63",https://www.ebay.de/itm/389458783663,https://i.ebayimg.com/images/g/8VkAAeSwistoseHH/s-l140.jpg
Apple iPhone 13 - 128GB - Mitternacht (Ohne Simlock) (Dual-SIM),,https://www.ebay.de/itm/326944388886,https://i.ebayimg.com/images/g/3V8AAeSwk5NpPsYN/s-l140.jpg
Apple iPhone 13 128GB Pink Rose in gutem Zustand,"EUR 216,00",https://www.ebay.de/itm/236559406945,https://i.ebayimg.com/images/g/~CMAAeSwx2lpNqUn/s-l140.jpg
Apple iPhone 13 - Midnight Black - 128GB - Ohne Simlock,"EUR 211,00",https://www.ebay.de/itm/168043352645,https://i.ebayimg.com/images/g/p6AAAeSwcABpQcUy/s-l140.jpg
Apple iPhone 13 - 128GB - Product Red (rot) (Ohne Simlock) ,"EUR 209,81",https://www.ebay.de/itm/406536453734,https://i.ebayimg.com/images/g/Bg0AAeSwieNpLfI-/s-l140.jpg
Gebrauchtes iPhone 13 256GB entsperrt weiß guter Zustand voll funktionsfähig verpackt ohne Sim,,https://www.ebay.de/itm/358086532776,https://i.ebayimg.com/images/g/6soAAeSwpWRpW-I~/s-l140.jpg
"iPhone 13 Midnight 128 GB – Top Zustand, 91% Batterie, Apple Logic Board Tausch","EUR 234,33",https://www.ebay.de/itm/358055481281,https://i.ebayimg.com/images/g/3eMAAeSwL15pTsLu/s-l140.jpg
Apple iPhone 13 128GB ohne Simlock,"EUR 214,81",https://www.ebay.de/itm/168040939731,https://i.ebayimg.com/images/g/9EUAAeSwJfVpUmgq/s-l140.jpg
"Apple iPhone 13 256GB Blau ohne Simlock, gebraucht","EUR 212,00",https://www.ebay.de/itm/297879968495,https://i.ebayimg.com/images/g/HngAAeSwp3ZpTtb6/s-l140.jpg
Apple iPhone 13 128GB Midnight ohne Simlock,"EUR 200,00",https://www.ebay.de/itm/389446097889,https://i.ebayimg.com/images/g/HUcAAeSwAStpU3PK/s-l140.jpg
Apple iPhone 13 128GB Midnight Black Entsperrt Top Zustand Voll Funktionsfähig ,"EUR 273,63",https://www.ebay.de/itm/389454171333,https://i.ebayimg.com/images/g/8VkAAeSwistoseHH/s-l140.jpg
Apple iPhone 13 - 512GB - Starlight (Ohne Simlock) MLQD3ZD/A Model A2633 in OVP,"EUR 243,83",https://www.ebay.de/itm/358064847215,https://i.ebayimg.com/images/g/7TsAAeSwsdxpUrIK/s-l140.jpg
