payroll_id,driver_id,pay_period_start,pay_period_end,payment_date,base_salary_usd,trip_bonuses_usd,performance_bonus_usd,overtime_hours,overtime_pay_usd,deductions_usd,net_pay_usd,payment_method,payment_status,trips_completed,total_distance_km
PAY-00048,DRV-048,2024-01-01,2024-01-31,2024-02-05,871,0.0,44.61,24,142.83,112.17,946.27,Bank Transfer,Paid,0,0
PAY-00049,DRV-049,2024-01-01,2024-01-31,2024-02-05,731,23.12,71.87,25,147.39,115.21,858.17,Bank Transfer,Paid,2,1512
PAY-00050,DRV-050,2024-01-01,2024-01-31,2024-02-05,892,0.0,74.73,18,96.83,157.36,906.2,Bank Transfer,Paid,0,0
PAY-00051,DRV-051,2024-01-01,2024-01-31,2024-02-05,944,0.0,63.22,14,79.84,167.98,919.08,Bank Transfer,Paid,0,0
PAY-00052,DRV-052,2024-01-01,2024-01-31,2024-02-05,722,0.0,72.51,25,144.62,105.42,833.72,Bank Transfer,Paid,0,0
PAY-00053,DRV-053,2024-01-01,2024-01-31,2024-02-05,755,27.46,56.81,0,0.0,124.9,714.38,Bank Transfer,Paid,3,2149
PAY-00054,DRV-054,2024-01-01,2024-01-31,2024-02-05,675,11.82,23.0,14,83.86,92.76,700.92,Bank Transfer,Paid,1,436
PAY-00055,DRV-055,2024-01-01,2024-01-31,2024-02-05,682,47.89,0,18,115.15,115.28,729.76,Bank Transfer,Paid,5,2642
PAY-00056,DRV-056,2024-01-01,2024-01-31,2024-02-05,896,0.0,59.97,15,87.92,121.13,922.76,Bank Transfer,Paid,0,0
PAY-00057,DRV-057,2024-01-01,2024-01-31,2024-02-05,881,11.68,0,24,159.77,128.91,923.53,Bank Transfer,Paid,1,322
PAY-00058,DRV-058,2024-01-01,2024-01-31,2024-02-05,892,0.0,31.62,20,112.3,117.26,918.66,Bank Transfer,Paid,0,0
PAY-00059,DRV-059,2024-01-01,2024-01-31,2024-02-05,881,0.0,55.82,6,32.74,154.7,814.86,Bank Transfer,Paid,0,0
PAY-00060,DRV-060,2024-01-01,2024-01-31,2024-02-05,689,36.0,42.19,0,0.0,94.89,672.3,Bank Transfer,Paid,3,1620
PAY-00061,DRV-061,2024-01-01,2024-01-31,2024-02-05,800,0.0,54.3,12,68.96,121.23,802.03,Bank Transfer,Paid,0,0
PAY-00062,DRV-062,2024-01-01,2024-01-31,2024-02-05,898,0.0,54.3,9,45.98,108.98,889.3,Bank Transfer,Paid,0,0
PAY-00063,DRV-063,2024-01-01,2024-01-31,2024-02-05,876,0.0,47.07,24,156.44,151.31,928.2,Bank Transfer,Paid,0,0
PAY-00064,DRV-064,2024-01-01,2024-01-31,2024-02-05,903,0.0,0,17,96.32,142.79,856.54,Bank Transfer,Paid,0,0
PAY-00065,DRV-065,2024-01-01,2024-01-31,2024-02-05,936,9.03,49.43,21,122.87,148.71,968.62,Bank Transfer,Paid,1,340
PAY-00066,DRV-066,2024-01-01,2024-01-31,2024-02-05,834,0.0,45.52,11,57.31,128.21,808.62,Bank Transfer,Paid,0,0
PAY-00067,DRV-067,2024-01-01,2024-01-31,2024-02-05,712,0.0,0,18,101.26,88.23,725.03,Bank Transfer,Paid,0,0
PAY-00068,DRV-068,2024-01-01,2024-01-31,2024-02-05,836,0.0,48.31,4,20.0,139.95,764.35,Bank Transfer,Paid,0,0
PAY-00069,DRV-069,2024-01-01,2024-01-31,2024-02-05,815,0.0,0,1,6.1,132.88,688.22,Bank Transfer,Paid,0,0
PAY-00070,DRV-070,2024-01-01,2024-01-31,2024-02-05,698,0.0,0,7,35.15,107.62,625.53,Bank Transfer,Paid,0,0
PAY-00071,DRV-071,2024-01-01,2024-01-31,2024-02-05,868,10.43,59.02,19,119.8,152.05,905.2,Bank Transfer,Paid,1,1354
PAY-00072,DRV-072,2024-01-01,2024-01-31,2024-02-05,660,0.0,69.55,0,0.0,111.51,618.04,Bank Transfer,Paid,0,0
PAY-00073,DRV-073,2024-01-01,2024-01-31,2024-02-05,832,0.0,36.16,20,100.09,116.7,851.56,Bank Transfer,Paid,0,0
PAY-00074,DRV-074,2024-01-01,2024-01-31,2024-02-05,845,0.0,59.81,15,98.34,139.57,863.58,Bank Transfer,Paid,0,0
PAY-00075,DRV-075,2024-01-01,2024-01-31,2024-02-05,652,0.0,0,22,143.4,108.5,686.9,Bank Transfer,Paid,0,0
PAY-00076,DRV-076,2024-01-01,2024-01-31,2024-02-05,692,8.57,57.34,13,83.11,90.38,750.64,Bank Transfer,Paid,1,793
PAY-00077,DRV-077,2024-01-01,2024-01-31,2024-02-05,862,44.65,22.38,20,104.41,143.24,890.21,Bank Transfer,Paid,5,2279
PAY-00078,DRV-078,2024-01-01,2024-01-31,2024-02-05,676,18.85,38.07,9,57.96,110.26,680.62,Bank Transfer,Paid,2,1274
PAY-00079,DRV-079,2024-01-01,2024-01-31,2024-02-05,737,0.0,34.34,16,108.85,99.11,781.08,Bank Transfer,Paid,0,0
PAY-00080,DRV-080,2024-01-01,2024-01-31,2024-02-05,813,34.52,0,11,62.97,113.85,796.65,Bank Transfer,Paid,3,1529
PAY-00081,DRV-081,2024-01-01,2024-01-31,2024-02-05,841,0.0,0,18,104.52,144.08,801.44,Bank Transfer,Paid,0,0
PAY-00082,DRV-082,2024-01-01,2024-01-31,2024-02-05,882,0.0,49.47,5,32.93,126.39,838.0,Bank Transfer,Paid,0,0
PAY-00083,DRV-083,2024-01-01,2024-01-31,2024-02-05,691,0.0,0,2,12.05,90.73,612.32,Bank Transfer,Paid,0,0
PAY-00084,DRV-084,2024-01-01,2024-01-31,2024-02-05,787,22.71,0,14,92.46,96.25,805.92,Bank Transfer,Paid,2,766
PAY-00085,DRV-085,2024-01-01,2024-01-31,2024-02-05,663,17.0,31.8,18,99.16,105.34,705.62,Bank Transfer,Paid,2,203
PAY-00086,DRV-086,2024-01-01,2024-01-31,2024-02-05,933,0.0,82.36,19,125.22,148.53,992.04,Bank Transfer,Paid,0,0
PAY-00087,DRV-087,2024-01-01,2024-01-31,2024-02-05,865,0.0,37.77,23,144.03,148.51,898.29,Bank Transfer,Paid,0,0
PAY-00088,DRV-088,2024-01-01,2024-01-31,2024-02-05,815,0.0,45.96,25,147.05,104.42,903.6,Bank Transfer,Paid,0,0
PAY-00089,DRV-089,2024-01-01,2024-01-31,2024-02-05,739,11.92,50.21,23,144.29,102.02,843.4,Bank Transfer,Paid,1,123
PAY-00090,DRV-090,2024-01-01,2024-01-31,2024-02-05,893,0.0,0,16,110.95,113.83,890.11,Bank Transfer,Paid,0,0
PAY-00091,DRV-091,2024-01-01,2024-01-31,2024-02-05,780,0.0,31.05,12,62.34,128.8,744.6,Bank Transfer,Paid,0,0
PAY-00092,DRV-092,2024-01-01,2024-01-31,2024-02-05,876,0.0,0,16,107.59,154.78,828.8,Bank Transfer,Paid,0,0
PAY-00093,DRV-093,2024-01-01,2024-01-31,2024-02-05,902,0.0,0,24,152.54,144.21,910.33,Bank Transfer,Paid,0,0
PAY-00094,DRV-094,2024-01-01,2024-01-31,2024-02-05,795,0.0,57.21,13,84.97,108.56,828.62,Bank Transfer,Paid,0,0
PAY-00095,DRV-095,2024-01-01,2024-01-31,2024-02-05,886,0.0,0,2,10.36,111.7,784.65,Bank Transfer,Paid,0,0
PAY-00096,DRV-096,2024-01-01,2024-01-31,2024-02-05,654,0.0,0,3,18.3,116.67,555.63,Bank Transfer,Paid,0,0
PAY-00097,DRV-097,2024-01-01,2024-01-31,2024-02-05,830,0.0,60.57,6,30.07,144.06,776.58,Bank Transfer,Paid,0,0
PAY-00098,DRV-098,2024-01-01,2024-01-31,2024-02-05,684,25.99,0,16,107.47,107.15,710.31,Bank Transfer,Paid,3,1589
PAY-00099,DRV-099,2024-01-01,2024-01-31,2024-02-05,914,99.18,0,12,80.56,145.95,947.79,Bank Transfer,Paid,10,5288
PAY-00100,DRV-100,2024-01-01,2024-01-31,2024-02-05,711,0.0,36.86,19,96.83,100.69,744.0,Bank Transfer,Paid,0,0
PAY-00101,DRV-101,2024-01-01,2024-01-31,2024-02-05,821,77.57,65.58,8,42.35,141.8,864.7,Bank Transfer,Paid,7,3526
PAY-00102,DRV-102,2024-01-01,2024-01-31,2024-02-05,850,16.64,0,17,108.23,110.19,864.68,Bank Transfer,Paid,2,584
PAY-00103,DRV-103,2024-01-01,2024-01-31,2024-02-05,857,0.0,33.33,14,81.06,124.77,846.63,Bank Transfer,Paid,0,0
PAY-00104,DRV-104,2024-01-01,2024-01-31,2024-02-05,857,9.85,44.29,6,35.74,126.37,820.51,Bank Transfer,Paid,1,514
PAY-00105,DRV-105,2024-01-01,2024-01-31,2024-02-05,915,81.89,50.22,6,31.68,117.59,961.21,Bank Transfer,Paid,9,5913
PAY-00106,DRV-106,2024-01-01,2024-01-31,2024-02-05,905,0.0,23.38,11,68.67,136.35,860.7,Bank Transfer,Paid,0,0
PAY-00107,DRV-107,2024-01-01,2024-01-31,2024-02-05,938,0.0,0,5,25.06,119.13,843.93,Bank Transfer,Paid,0,0
PAY-00108,DRV-108,2024-01-01,2024-01-31,2024-02-05,861,0.0,0,9,58.62,130.48,789.14,Bank Transfer,Paid,0,0
PAY-00109,DRV-109,2024-01-01,2024-01-31,2024-02-05,834,10.37,70.59,18,113.57,120.51,908.01,Bank Transfer,Paid,1,948
PAY-00110,DRV-110,2024-01-01,2024-01-31,2024-02-05,672,0.0,43.81,22,134.33,83.29,766.85,Bank Transfer,Paid,0,0
PAY-00111,DRV-111,2024-01-01,2024-01-31,2024-02-05,758,0.0,61.42,20,137.73,105.92,851.23,Bank Transfer,Paid,0,0
PAY-00112,DRV-112,2024-01-01,2024-01-31,2024-02-05,737,0.0,0,1,5.41,89.32,653.09,Bank Transfer,Paid,0,0
PAY-00113,DRV-113,2024-01-01,2024-01-31,2024-02-05,828,9.12,0,17,111.38,134.1,814.4,Bank Transfer,Paid,1,617
PAY-00114,DRV-114,2024-01-01,2024-01-31,2024-02-05,773,0.0,0,1,6.74,138.58,641.17,Bank Transfer,Paid,0,0
PAY-00115,DRV-115,2024-01-01,2024-01-31,2024-02-05,722,0.0,0,4,23.07,102.17,642.91,Bank Transfer,Paid,0,0
PAY-00116,DRV-116,2024-01-01,2024-01-31,2024-02-05,799,33.92,67.23,7,37.69,115.19,822.65,Bank Transfer,Paid,3,1092
PAY-00117,DRV-117,2024-01-01,2024-01-31,2024-02-05,707,32.98,0,3,18.63,123.95,634.66,Bank Transfer,Paid,4,2493
PAY-00118,DRV-118,2024-01-01,2024-01-31,2024-02-05,690,0.0,0,17,115.97,94.38,711.59,Bank Transfer,Paid,0,0
PAY-00119,DRV-119,2024-01-01,2024-01-31,2024-02-05,696,34.22,42.03,25,162.94,89.04,846.14,Bank Transfer,Paid,3,2362
PAY-00120,DRV-120,2024-01-01,2024-01-31,2024-02-05,817,0.0,74.47,11,63.78,119.57,835.68,Bank Transfer,Paid,0,0
PAY-00121,DRV-121,2024-01-01,2024-01-31,2024-02-05,948,0.0,51.89,22,131.25,164.91,966.22,Bank Transfer,Paid,0,0
PAY-00122,DRV-122,2024-01-01,2024-01-31,2024-02-05,676,57.27,0,21,121.61,85.2,769.67,Bank Transfer,Paid,5,4055
PAY-00123,DRV-123,2024-01-01,2024-01-31,2024-02-05,931,0.0,47.16,17,99.9,152.1,925.96,Bank Transfer,Paid,0,0
PAY-00124,DRV-124,2024-01-01,2024-01-31,2024-02-05,783,0.0,64.6,8,55.34,121.0,781.94,Bank Transfer,Paid,0,0
PAY-00125,DRV-125,2024-01-01,2024-01-31,2024-02-05,816,46.54,0,14,86.69,114.66,834.57,Bank Transfer,Paid,5,2201
PAY-00126,DRV-126,2024-01-01,2024-01-31,2024-02-05,686,0.0,0,9,57.68,111.78,631.9,Bank Transfer,Paid,0,0
PAY-00127,DRV-127,2024-01-01,2024-01-31,2024-02-05,873,0.0,24.91,2,10.04,127.32,780.63,Bank Transfer,Paid,0,0
PAY-00128,DRV-128,2024-01-01,2024-01-31,2024-02-05,879,0.0,44.03,2,12.41,112.05,823.39,Bank Transfer,Paid,0,0
PAY-00129,DRV-129,2024-01-01,2024-01-31,2024-02-05,948,53.29,54.04,2,12.66,127.26,940.73,Bank Transfer,Paid,6,4499
PAY-00130,DRV-130,2024-01-01,2024-01-31,2024-02-05,917,50.64,51.97,12,69.32,164.04,924.89,Bank Transfer,Paid,5,2656
PAY-00131,DRV-131,2024-01-01,2024-01-31,2024-02-05,918,0.0,0,17,102.65,127.73,892.91,Bank Transfer,Paid,0,0
PAY-00132,DRV-132,2024-01-01,2024-01-31,2024-02-05,754,9.82,64.67,23,150.82,105.02,874.28,Bank Transfer,Paid,1,566
PAY-00133,DRV-133,2024-01-01,2024-01-31,2024-02-05,769,55.02,80.19,8,55.13,105.8,853.55,Bank Transfer,Paid,5,3340
PAY-00134,DRV-134,2024-01-01,2024-01-31,2024-02-05,701,0.0,0,13,90.14,101.4,689.74,Bank Transfer,Paid,0,0
PAY-00135,DRV-135,2024-01-01,2024-01-31,2024-02-05,805,0.0,48.17,14,77.41,136.95,793.64,Bank Transfer,Paid,0,0
PAY-00136,DRV-136,2024-01-01,2024-01-31,2024-02-05,900,0.0,28.34,24,146.04,138.41,935.97,Bank Transfer,Paid,0,0
PAY-00137,DRV-137,2024-01-01,2024-01-31,2024-02-05,733,0.0,0,21,118.34,110.43,740.91,Bank Transfer,Paid,0,0
PAY-00138,DRV-138,2024-01-01,2024-01-31,2024-02-05,835,27.68,28.1,4,22.3,108.99,804.08,Bank Transfer,Paid,3,1440
PAY-00139,DRV-139,2024-01-01,2024-01-31,2024-02-05,661,0.0,0,20,139.75,91.41,709.34,Bank Transfer,Paid,0,0
PAY-00140,DRV-140,2024-01-01,2024-01-31,2024-02-05,923,9.91,0,22,140.75,119.53,954.13,Bank Transfer,Paid,1,1192
PAY-00141,DRV-141,2024-01-01,2024-01-31,2024-02-05,927,0.0,24.13,1,6.6,160.96,796.78,Bank Transfer,Paid,0,0
PAY-00142,DRV-142,2024-01-01,2024-01-31,2024-02-05,774,0.0,74.65,17,101.95,131.4,819.2,Bank Transfer,Paid,0,0
PAY-00143,DRV-143,2024-01-01,2024-01-31,2024-02-05,946,0.0,37.81,20,100.35,169.46,914.7,Bank Transfer,Paid,0,0
PAY-00144,DRV-144,2024-01-01,2024-01-31,2024-02-05,815,0.0,0,3,20.85,98.97,736.88,Bank Transfer,Paid,0,0
PAY-00145,DRV-145,2024-01-01,2024-01-31,2024-02-05,669,0.0,0,25,159.33,99.65,728.67,Bank Transfer,Paid,0,0
PAY-00146,DRV-146,2024-01-01,2024-01-31,2024-02-05,729,0.0,0,9,57.89,93.75,693.14,Bank Transfer,Paid,0,0
PAY-00147,DRV-147,2024-01-01,2024-01-31,2024-02-05,925,11.86,29.11,16,101.88,120.46,947.39,Bank Transfer,Paid,1,1228
PAY-00148,DRV-148,2024-01-01,2024-01-31,2024-02-05,775,0.0,0,9,62.12,137.6,699.53,Bank Transfer,Paid,0,0
PAY-00149,DRV-149,2024-01-01,2024-01-31,2024-02-05,824,0.0,0,0,0.0,121.06,702.94,Bank Transfer,Paid,0,0
PAY-00150,DRV-150,2024-01-01,2024-01-31,2024-02-05,784,0.0,60.37,15,86.05,132.41,798.01,Bank Transfer,Paid,0,0
PAY-00151,DRV-001,2024-02-01,2024-02-29,2024-03-05,757,9.68,36.13,12,74.71,110.56,766.96,Bank Transfer,Paid,1,1172
PAY-00152,DRV-002,2024-02-01,2024-02-29,2024-03-05,922,10.47,55.56,13,80.44,138.45,930.03,Bank Transfer,Paid,1,708
PAY-00153,DRV-003,2024-02-01,2024-02-29,2024-03-05,768,0.0,51.23,21,129.56,116.3,832.48,Bank Transfer,Paid,0,0
PAY-00154,DRV-004,2024-02-01,2024-02-29,2024-03-05,876,81.11,51.3,4,25.62,149.22,884.8,Bank Transfer,Paid,8,4997
PAY-00155,DRV-005,2024-02-01,2024-02-29,2024-03-05,716,35.18,20.84,2,10.76,124.09,658.7,Bank Transfer,Paid,3,1544
PAY-00156,DRV-006,2024-02-01,2024-02-29,2024-03-05,891,0.0,66.24,7,47.43,121.59,883.08,Bank Transfer,Paid,0,0
PAY-00157,DRV-007,2024-02-01,2024-02-29,2024-03-05,798,52.6,36.42,5,25.61,138.74,773.88,Bank Transfer,Paid,5,2523
PAY-00158,DRV-008,2024-02-01,2024-02-29,2024-03-05,730,0.0,0,10,67.02,102.98,694.04,Bank Transfer,Paid,0,0
PAY-00159,DRV-009,2024-02-01,2024-02-29,2024-03-05,909,0.0,23.19,25,152.46,116.03,968.62,Bank Transfer,Paid,0,0
PAY-00160,DRV-010,2024-02-01,2024-02-29,2024-03-05,691,0.0,0,18,125.51,83.88,732.63,Bank Transfer,Paid,0,0
PAY-00161,DRV-011,2024-02-01,2024-02-29,2024-03-05,811,0.0,0,22,121.75,129.79,802.95,Bank Transfer,Paid,0,0
PAY-00162,DRV-012,2024-02-01,2024-02-29,2024-03-05,712,0.0,0,6,38.42,109.47,640.95,Bank Transfer,Paid,0,0
PAY-00163,DRV-013,2024-02-01,2024-02-29,2024-03-05,765,9.83,23.81,19,131.09,106.9,822.83,Bank Transfer,Paid,1,232
PAY-00164,DRV-014,2024-02-01,2024-02-29,2024-03-05,762,0.0,0,7,48.07,94.22,715.85,Bank Transfer,Paid,0,0
PAY-00165,DRV-015,2024-02-01,2024-02-29,2024-03-05,760,81.4,42.61,25,146.78,91.97,938.82,Bank Transfer,Paid,9,5950
PAY-00166,DRV-016,2024-02-01,2024-02-29,2024-03-05,928,0.0,54.6,21,112.51,165.65,929.45,Bank Transfer,Paid,0,0
PAY-00167,DRV-017,2024-02-01,2024-02-29,2024-03-05,871,0.0,27.26,4,20.83,133.35,785.74,Bank Transfer,Paid,0,0
PAY-00168,DRV-018,2024-02-01,2024-02-29,2024-03-05,768,47.37,19.1,10,67.62,119.6,782.49,Bank Transfer,Paid,4,2481
PAY-00169,DRV-019,2024-02-01,2024-02-29,2024-03-05,729,0.0,36.1,7,48.19,116.45,696.84,Bank Transfer,Paid,0,0
PAY-00170,DRV-020,2024-02-01,2024-02-29,2024-03-05,926,0.0,63.29,0,0.0,147.53,841.76,Bank Transfer,Paid,0,0
PAY-00171,DRV-021,2024-02-01,2024-02-29,2024-03-05,797,88.48,0,23,127.17,118.85,893.8,Bank Transfer,Paid,8,3310
PAY-00172,DRV-022,2024-02-01,2024-02-29,2024-03-05,694,56.35,41.53,22,131.55,112.41,811.01,Bank Transfer,Paid,5,3001
PAY-00173,DRV-023,2024-02-01,2024-02-29,2024-03-05,852,0.0,0,23,129.11,150.99,830.12,Bank Transfer,Paid,0,0
PAY-00174,DRV-024,2024-02-01,2024-02-29,2024-03-05,744,0.0,72.04,22,142.49,98.68,859.85,Bank Transfer,Paid,0,0
PAY-00175,DRV-025,2024-02-01,2024-02-29,2024-03-05,863,0.0,0,0,0.0,114.59,748.41,Bank Transfer,Paid,0,0
PAY-00176,DRV-026,2024-02-01,2024-02-29,2024-03-05,738,0.0,44.91,5,34.88,96.46,721.33,Bank Transfer,Paid,0,0
PAY-00177,DRV-027,2024-02-01,2024-02-29,2024-03-05,744,11.18,34.07,3,15.79,111.88,693.16,Bank Transfer,Paid,1,353
PAY-00178,DRV-028,2024-02-01,2024-02-29,2024-03-05,883,23.56,0,19,117.6,137.27,886.89,Bank Transfer,Paid,2,737
PAY-00179,DRV-029,2024-02-01,2024-02-29,2024-03-05,690,26.66,53.51,14,86.26,89.97,766.46,Bank Transfer,Paid,3,1038
PAY-00180,DRV-030,2024-02-01,2024-02-29,2024-03-05,756,34.14,45.78,22,141.28,120.7,856.5,Bank Transfer,Paid,3,1779
PAY-00181,DRV-031,2024-02-01,2024-02-29,2024-03-05,928,47.96,0,20,124.61,152.79,947.78,Bank Transfer,Paid,5,2549
PAY-00182,DRV-032,2024-02-01,2024-02-29,2024-03-05,899,0.0,74.35,8,47.19,123.62,896.92,Bank Transfer,Paid,0,0
PAY-00183,DRV-033,2024-02-01,2024-02-29,2024-03-05,734,0.0,0,11,55.05,97.17,691.89,Bank Transfer,Paid,0,0
PAY-00184,DRV-034,2024-02-01,2024-02-29,2024-03-05,654,90.32,0,25,151.24,87.84,807.72,Bank Transfer,Paid,8,4943
PAY-00185,DRV-035,2024-02-01,2024-02-29,2024-03-05,735,0.0,0,10,67.13,96.23,705.91,Bank Transfer,Paid,0,0
PAY-00186,DRV-036,2024-02-01,2024-02-29,2024-03-05,873,9.43,74.84,21,123.9,153.98,927.18,Bank Transfer,Paid,1,110
PAY-00187,DRV-037,2024-02-01,2024-02-29,2024-03-05,856,0.0,36.33,18,116.01,124.93,883.4,Bank Transfer,Paid,0,0
