fuel_id,trip_id,asset_id,driver_id,refuel_date,refuel_time,country,location,fuel_station,fuel_type,liters_purchased,price_per_liter_local,total_cost_local,total_cost_usd,odometer_reading,fuel_efficiency_km_per_liter,payment_method,receipt_number
FUEL-00039,TRP-0039,AST-077,DRV-018,2024-08-26,00:00:00,Tanzania,Dodoma,Kobil - Dodoma,Diesel,173.7,4850,842445.0,336.98,203688,5.6,Cash,FUEL-20293
FUEL-00040,TRP-0040,AST-053,DRV-080,2025-02-14,00:00:00,Ethiopia,Mekele,Puma Energy - Mekele,Diesel,65.9,67,4415.3,79.48,77183,5.3,Company Card,FUEL-44978
FUEL-00041,TRP-0041,AST-113,DRV-076,2024-04-12,00:00:00,Rwanda,Ruhengeri,Puma Energy - Ruhengeri,Diesel,20.5,1470,30135.0,23.2,51673,5.4,Cash,FUEL-15063
FUEL-00042,TRP-0042,AST-076,DRV-041,2024-03-09,00:00:00,Kenya,Nairobi,Puma Energy - Nairobi,Diesel,179.0,175,31325.0,241.2,153336,5.7,Company Card,FUEL-85773
FUEL-00043,TRP-0043,AST-084,DRV-133,2024-09-15,00:00:00,Tanzania,Mbeya,Kobil - Mbeya,Diesel,107.8,4850,522830.0,209.13,227576,6.1,Company Card,FUEL-83933
FUEL-00044,TRP-0044,AST-094,DRV-138,2025-01-01,00:00:00,Tanzania,Dar es Salaam,Shell - Dar es Salaam,Diesel,109.5,4850,531075.0,212.43,108915,5.5,Company Card,FUEL-93569
FUEL-00045,TRP-0045,AST-090,DRV-027,2024-07-06,00:00:00,Rwanda,Cyangugu,Shell - Cyangugu,Diesel,109.6,1470,161112.0,124.06,200035,5.1,Company Card,FUEL-97587
FUEL-00046,TRP-0046,AST-037,DRV-101,2024-01-11,00:00:00,Kenya,Nakuru,Total - Nakuru,Diesel,8.6,175,1505.0,11.59,158148,6.0,Company Card,FUEL-75984
FUEL-00047,TRP-0047,AST-082,DRV-047,2025-01-26,00:00:00,Kenya,Kisumu,Puma Energy - Kisumu,Diesel,81.3,175,14227.5,109.55,164417,6.1,Company Card,FUEL-23971
FUEL-00048,TRP-0048,AST-066,DRV-021,2024-05-19,00:00:00,Tanzania,Mbeya,Puma Energy - Mbeya,Diesel,129.2,4850,626620.0,250.65,158973,5.8,Cash,FUEL-78755
FUEL-00049,TRP-0049,AST-112,DRV-057,2024-09-21,00:00:00,Tanzania,Mwanza,Shell - Mwanza,Diesel,71.6,4850,347260.0,138.9,161957,5.7,Cash,FUEL-38923
FUEL-00050,TRP-0050,AST-089,DRV-007,2024-02-02,00:00:00,Kenya,Nakuru,Puma Energy - Nakuru,Diesel,76.0,175,13300.0,102.41,131519,5.8,Cash,FUEL-60543
FUEL-00051,TRP-0051,AST-082,DRV-047,2024-01-19,00:00:00,Kenya,Mombasa,Shell - Mombasa,Diesel,46.2,175,8085.0,62.25,168633,5.5,Company Card,FUEL-51754
FUEL-00052,TRP-0052,AST-051,DRV-098,2025-01-05,00:00:00,Kenya,Eldoret,Kobil - Eldoret,Diesel,101.5,175,17762.5,136.77,174668,6.4,Cash,FUEL-84370
FUEL-00053,TRP-0053,AST-012,DRV-065,2024-04-19,00:00:00,Tanzania,Arusha,Kobil - Arusha,Diesel,272.7,4850,1322595.0,529.04,34450,5.0,Cash,FUEL-84861
FUEL-00054,TRP-0054,AST-114,DRV-015,2025-01-13,00:00:00,Uganda,Entebbe,Shell - Entebbe,Diesel,102.0,6200,632400.0,170.75,198738,6.4,Company Card,FUEL-91308
FUEL-00055,TRP-0055,AST-118,DRV-147,2024-03-23,00:00:00,Uganda,Gulu,Kobil - Gulu,Diesel,203.4,6200,1261080.0,340.49,74076,6.2,Cash,FUEL-85618
FUEL-00056,TRP-0056,AST-033,DRV-015,2024-01-15,00:00:00,Uganda,Entebbe,Puma Energy - Entebbe,Diesel,20.0,6200,124000.0,33.48,74137,6.2,Cash,FUEL-67882
FUEL-00057,TRP-0057,AST-042,DRV-053,2025-02-09,00:00:00,Tanzania,Mwanza,Total - Mwanza,Diesel,64.6,4850,313310.0,125.32,152687,6.0,Cash,FUEL-56626
FUEL-00058,TRP-0058,AST-019,DRV-071,2024-08-24,00:00:00,Kenya,Mombasa,Puma Energy - Mombasa,Diesel,129.8,175,22715.0,174.91,137670,6.0,Company Card,FUEL-80326
FUEL-00059,TRP-0059,AST-038,DRV-119,2024-04-07,00:00:00,Kenya,Nakuru,Shell - Nakuru,Diesel,13.1,175,2292.5,17.65,42789,5.6,Company Card,FUEL-49764
FUEL-00060,TRP-0060,AST-098,DRV-044,2024-01-06,00:00:00,Kenya,Kisumu,Puma Energy - Kisumu,Diesel,100.7,175,17622.5,135.69,205076,5.9,Company Card,FUEL-70415
FUEL-00061,TRP-0061,AST-019,DRV-071,2024-12-29,00:00:00,Kenya,Eldoret,Kobil - Eldoret,Diesel,69.9,175,12232.5,94.19,134130,5.5,Company Card,FUEL-91281
FUEL-00062,TRP-0062,AST-038,DRV-119,2024-02-29,00:00:00,Kenya,Mombasa,Puma Energy - Mombasa,Diesel,139.5,175,24412.5,187.98,43418,5.2,Cash,FUEL-65680
FUEL-00063,TRP-0063,AST-037,DRV-101,2025-02-12,00:00:00,Kenya,Mombasa,Shell - Mombasa,Diesel,12.4,175,2170.0,16.71,151909,5.2,Company Card,FUEL-31643
FUEL-00064,TRP-0064,AST-075,DRV-101,2024-06-27,00:00:00,Kenya,Kisumu,Total - Kisumu,Diesel,37.1,175,6492.5,49.99,25481,5.5,Cash,FUEL-30448
FUEL-00065,TRP-0065,AST-097,DRV-130,2024-03-03,00:00:00,Kenya,Nairobi,Shell - Nairobi,Diesel,156.0,175,27300.0,210.21,100638,6.1,Company Card,FUEL-33365
FUEL-00066,TRP-0066,AST-072,DRV-039,2024-10-18,00:00:00,Kenya,Nairobi,Shell - Nairobi,Diesel,149.5,175,26162.5,201.45,132349,6.2,Cash,FUEL-37448
FUEL-00067,TRP-0067,AST-089,DRV-007,2024-11-30,00:00:00,Kenya,Nakuru,Kobil - Nakuru,Diesel,131.9,175,23082.5,177.74,135388,6.1,Cash,FUEL-58079
FUEL-00068,TRP-0068,AST-094,DRV-138,2024-08-10,00:00:00,Tanzania,Dar es Salaam,Total - Dar es Salaam,Diesel,120.4,4850,583940.0,233.58,108461,5.4,Cash,FUEL-77167
FUEL-00069,TRP-0069,AST-053,DRV-080,2024-10-09,00:00:00,Ethiopia,Bahir Dar,Puma Energy - Bahir Dar,Diesel,74.4,67,4984.8,89.73,77524,6.2,Cash,FUEL-96201
FUEL-00070,TRP-0070,AST-109,DRV-047,2024-08-01,00:00:00,Kenya,Nakuru,Shell - Nakuru,Diesel,106.5,175,18637.5,143.51,154514,5.3,Cash,FUEL-38604
FUEL-00071,TRP-0071,AST-056,DRV-028,2024-12-02,00:00:00,Uganda,Jinja,Puma Energy - Jinja,Diesel,35.8,6200,221960.0,59.93,105551,6.0,Cash,FUEL-12211
FUEL-00072,TRP-0072,AST-018,DRV-029,2024-11-16,00:00:00,Kenya,Kisumu,Total - Kisumu,Diesel,234.6,175,41055.0,316.12,205121,5.6,Company Card,FUEL-26864
FUEL-00073,TRP-0073,AST-053,DRV-080,2024-12-31,00:00:00,Ethiopia,Gondar,Puma Energy - Gondar,Diesel,91.8,67,6150.6,110.71,81027,5.7,Company Card,FUEL-18863
FUEL-00074,TRP-0074,AST-078,DRV-132,2024-06-26,00:00:00,Uganda,Kampala,Kobil - Kampala,Diesel,85.3,6200,528860.0,142.79,134292,6.4,Company Card,FUEL-35560
FUEL-00075,TRP-0075,AST-025,DRV-031,2024-08-29,00:00:00,Uganda,Jinja,Total - Jinja,Diesel,126.9,6200,786780.0,212.43,186495,5.5,Company Card,FUEL-76617
FUEL-00076,TRP-0076,AST-018,DRV-029,2024-03-30,00:00:00,Kenya,Nairobi,Total - Nairobi,Diesel,13.2,175,2310.0,17.79,204215,6.3,Cash,FUEL-51175
FUEL-00077,TRP-0077,AST-119,DRV-022,2024-02-23,00:00:00,Ethiopia,Gondar,Total - Gondar,Diesel,129.1,67,8649.7,155.69,174257,5.7,Cash,FUEL-74502
FUEL-00078,TRP-0078,AST-096,DRV-005,2024-07-05,00:00:00,Rwanda,Kigali,Kobil - Kigali,Diesel,122.3,1470,179781.0,138.43,139492,6.1,Company Card,FUEL-53926
FUEL-00079,TRP-0079,AST-004,DRV-078,2025-02-14,00:00:00,Tanzania,Dodoma,Total - Dodoma,Diesel,171.1,4850,829835.0,331.93,118020,6.4,Company Card,FUEL-47130
FUEL-00080,TRP-0080,AST-045,DRV-099,2024-11-19,00:00:00,Ethiopia,Gondar,Total - Gondar,Diesel,61.8,67,4140.6,74.53,109308,5.7,Cash,FUEL-97801
FUEL-00081,TRP-0081,AST-031,DRV-013,2024-11-28,00:00:00,Rwanda,Gisenyi,Kobil - Gisenyi,Diesel,71.9,1470,105693.0,81.38,149956,5.8,Cash,FUEL-76875
FUEL-00082,TRP-0082,AST-014,DRV-099,2024-06-04,00:00:00,Ethiopia,Addis Ababa,Puma Energy - Addis Ababa,Diesel,172.7,67,11570.9,208.28,207572,5.8,Company Card,FUEL-97545
FUEL-00083,TRP-0083,AST-070,DRV-047,2024-09-30,00:00:00,Kenya,Kisumu,Puma Energy - Kisumu,Diesel,104.4,175,18270.0,140.68,78699,5.1,Company Card,FUEL-80207
FUEL-00084,TRP-0084,AST-063,DRV-133,2024-08-31,00:00:00,Tanzania,Arusha,Total - Arusha,Diesel,111.3,4850,539805.0,215.92,93888,5.7,Company Card,FUEL-25096
FUEL-00085,TRP-0085,AST-015,DRV-116,2024-09-27,00:00:00,Uganda,Gulu,Puma Energy - Gulu,Diesel,106.0,6200,657200.0,177.44,126334,5.5,Company Card,FUEL-69778
FUEL-00086,TRP-0086,AST-012,DRV-065,2024-03-13,00:00:00,Tanzania,Arusha,Shell - Arusha,Diesel,85.9,4850,416615.0,166.65,28544,5.7,Company Card,FUEL-67406
FUEL-00087,TRP-0087,AST-115,DRV-054,2025-01-25,00:00:00,Tanzania,Dodoma,Kobil - Dodoma,Diesel,146.8,4850,711980.0,284.79,173454,6.0,Cash,FUEL-25971
FUEL-00088,TRP-0088,AST-055,DRV-077,2024-10-19,00:00:00,Rwanda,Gisenyi,Puma Energy - Gisenyi,Diesel,113.4,1470,166698.0,128.36,177592,6.1,Cash,FUEL-10752
FUEL-00089,TRP-0089,AST-068,DRV-118,2025-02-17,00:00:00,Uganda,Gulu,Shell - Gulu,Diesel,22.2,6200,137640.0,37.16,79121,5.3,Company Card,FUEL-82697
FUEL-00090,TRP-0090,AST-018,DRV-029,2024-07-27,00:00:00,Kenya,Kisumu,Total - Kisumu,Diesel,92.5,175,16187.5,124.64,208830,5.7,Cash,FUEL-78702
FUEL-00091,TRP-0091,AST-048,DRV-034,2024-02-28,00:00:00,Kenya,Nakuru,Puma Energy - Nakuru,Diesel,149.6,175,26180.0,201.59,182300,5.1,Cash,FUEL-11714
FUEL-00092,TRP-0092,AST-004,DRV-078,2024-03-13,00:00:00,Tanzania,Mwanza,Shell - Mwanza,Diesel,134.2,4850,650870.0,260.35,118898,5.5,Cash,FUEL-83280
FUEL-00093,TRP-0093,AST-097,DRV-130,2024-09-18,00:00:00,Kenya,Eldoret,Kobil - Eldoret,Diesel,119.8,175,20965.0,161.43,97775,6.4,Cash,FUEL-53914
FUEL-00094,TRP-0094,AST-003,DRV-105,2024-12-28,00:00:00,Kenya,Kisumu,Total - Kisumu,Diesel,111.8,175,19565.0,150.65,172591,6.1,Company Card,FUEL-82538
FUEL-00095,TRP-0095,AST-076,DRV-041,2024-11-28,00:00:00,Kenya,Nairobi,Total - Nairobi,Diesel,69.3,175,12127.5,93.38,152444,6.0,Company Card,FUEL-75521
FUEL-00096,TRP-0096,AST-044,DRV-001,2025-02-21,00:00:00,Uganda,Entebbe,Shell - Entebbe,Diesel,66.8,6200,414160.0,111.82,104331,6.0,Cash,FUEL-68523
FUEL-00097,TRP-0097,AST-070,DRV-047,2024-10-16,00:00:00,Kenya,Mombasa,Puma Energy - Mombasa,Diesel,69.7,175,12197.5,93.92,82834,6.4,Cash,FUEL-23338
FUEL-00098,TRP-0098,AST-098,DRV-044,2024-08-09,00:00:00,Kenya,Eldoret,Total - Eldoret,Diesel,97.1,175,16992.5,130.84,205489,6.5,Cash,FUEL-90261
FUEL-00099,TRP-0099,AST-048,DRV-034,2024-02-08,00:00:00,Kenya,Kisumu,Kobil - Kisumu,Diesel,84.6,175,14805.0,114.0,185681,5.4,Cash,FUEL-95715
FUEL-00100,TRP-0100,AST-057,DRV-031,2024-08-12,00:00:00,Uganda,Mbarara,Shell - Mbarara,Diesel,119.8,6200,742760.0,200.55,220304,5.4,Company Card,FUEL-99167
FUEL-00101,TRP-0101,AST-109,DRV-047,2025-01-20,00:00:00,Kenya,Eldoret,Kobil - Eldoret,Diesel,73.3,175,12827.5,98.77,160375,6.2,Company Card,FUEL-99779
FUEL-00102,TRP-0102,AST-029,DRV-105,2024-11-22,00:00:00,Kenya,Nakuru,Shell - Nakuru,Diesel,63.2,175,11060.0,85.16,107969,5.2,Company Card,FUEL-53800
FUEL-00103,TRP-0103,AST-085,DRV-113,2024-07-07,00:00:00,Tanzania,Mwanza,Kobil - Mwanza,Diesel,73.9,4850,358415.0,143.37,237076,5.5,Cash,FUEL-71667
FUEL-00104,TRP-0104,AST-004,DRV-078,2024-11-11,00:00:00,Tanzania,Mwanza,Total - Mwanza,Diesel,67.0,4850,324950.0,129.98,115716,6.2,Company Card,FUEL-37893
FUEL-00105,TRP-0105,AST-007,DRV-053,2024-07-02,00:00:00,Tanzania,Mwanza,Shell - Mwanza,Diesel,16.2,4850,78570.0,31.43,90098,5.3,Company Card,FUEL-87948
FUEL-00106,TRP-0106,AST-061,DRV-125,2024-02-21,00:00:00,Rwanda,Butare,Kobil - Butare,Diesel,109.9,1470,161553.0,124.4,86665,5.3,Cash,FUEL-13269
FUEL-00107,TRP-0107,AST-077,DRV-018,2024-06-11,00:00:00,Tanzania,Mwanza,Shell - Mwanza,Diesel,125.3,4850,607705.0,243.08,207515,5.3,Cash,FUEL-52657
FUEL-00108,TRP-0108,AST-097,DRV-130,2025-01-19,00:00:00,Kenya,Eldoret,Puma Energy - Eldoret,Diesel,149.2,175,26110.0,201.05,99099,5.3,Cash,FUEL-73607
FUEL-00109,TRP-0109,AST-070,DRV-047,2024-03-21,00:00:00,Kenya,Nairobi,Kobil - Nairobi,Diesel,10.0,175,1750.0,13.47,81369,5.5,Cash,FUEL-70628
FUEL-00110,TRP-0110,AST-044,DRV-001,2024-04-29,00:00:00,Uganda,Jinja,Puma Energy - Jinja,Diesel,89.2,6200,553040.0,149.32,108774,6.1,Cash,FUEL-14182
FUEL-00111,TRP-0111,AST-119,DRV-022,2024-04-07,00:00:00,Ethiopia,Bahir Dar,Puma Energy - Bahir Dar,Diesel,79.2,67,5306.4,95.52,174541,5.4,Cash,FUEL-82693
FUEL-00112,TRP-0112,AST-028,DRV-092,2024-08-27,00:00:00,Kenya,Nairobi,Kobil - Nairobi,Diesel,38.4,175,6720.0,51.74,138865,6.0,Cash,FUEL-30892
FUEL-00113,TRP-0113,AST-031,DRV-013,2024-08-05,00:00:00,Rwanda,Cyangugu,Puma Energy - Cyangugu,Diesel,15.2,1470,22344.0,17.2,152225,6.4,Cash,FUEL-33624
FUEL-00114,TRP-0114,AST-025,DRV-031,2024-03-28,00:00:00,Uganda,Entebbe,Total - Entebbe,Diesel,89.3,6200,553660.0,149.49,184934,5.5,Company Card,FUEL-60193
FUEL-00115,TRP-0115,AST-066,DRV-021,2024-02-26,00:00:00,Tanzania,Dodoma,Puma Energy - Dodoma,Diesel,165.9,4850,804615.0,321.85,161799,6.2,Company Card,FUEL-80658
FUEL-00116,TRP-0116,AST-095,DRV-005,2024-06-17,00:00:00,Rwanda,Ruhengeri,Kobil - Ruhengeri,Diesel,71.8,1470,105546.0,81.27,230543,5.3,Cash,FUEL-38102
FUEL-00117,TRP-0117,AST-055,DRV-077,2024-01-23,00:00:00,Rwanda,Butare,Shell - Butare,Diesel,61.7,1470,90699.0,69.84,174846,5.3,Company Card,FUEL-91987
FUEL-00118,TRP-0118,AST-008,DRV-031,2024-01-14,00:00:00,Uganda,Gulu,Puma Energy - Gulu,Diesel,23.1,6200,143220.0,38.67,106062,6.1,Cash,FUEL-37010
FUEL-00119,TRP-0119,AST-072,DRV-039,2024-05-22,00:00:00,Kenya,Nairobi,Puma Energy - Nairobi,Diesel,36.4,175,6370.0,49.05,136370,5.8,Company Card,FUEL-80322
FUEL-00120,TRP-0120,AST-108,DRV-116,2024-11-21,00:00:00,Uganda,Kampala,Total - Kampala,Diesel,73.7,6200,456940.0,123.37,194485,5.5,Cash,FUEL-12843
FUEL-00121,TRP-0121,AST-067,DRV-060,2024-04-22,00:00:00,Rwanda,Butare,Shell - Butare,Diesel,164.1,1470,241227.0,185.74,24358,5.0,Company Card,FUEL-56618
FUEL-00122,TRP-0122,AST-028,DRV-092,2024-04-18,00:00:00,Kenya,Kisumu,Total - Kisumu,Diesel,10.5,175,1837.5,14.15,137799,6.0,Company Card,FUEL-15919
FUEL-00123,TRP-0123,AST-108,DRV-116,2024-06-19,00:00:00,Uganda,Jinja,Total - Jinja,Diesel,143.4,6200,889080.0,240.05,195148,6.1,Cash,FUEL-16873
FUEL-00124,TRP-0124,AST-029,DRV-105,2024-01-31,00:00:00,Kenya,Kisumu,Kobil - Kisumu,Diesel,98.7,175,17272.5,133.0,111144,5.4,Cash,FUEL-37046
FUEL-00125,TRP-0125,AST-070,DRV-047,2024-06-18,00:00:00,Kenya,Eldoret,Total - Eldoret,Diesel,39.7,175,6947.5,53.5,79509,5.2,Company Card,FUEL-69447
FUEL-00126,TRP-0126,AST-098,DRV-044,2025-02-11,00:00:00,Kenya,Nairobi,Shell - Nairobi,Diesel,60.4,175,10570.0,81.39,201589,6.3,Company Card,FUEL-73789
FUEL-00127,TRP-0127,AST-107,DRV-004,2024-07-03,00:00:00,Kenya,Nakuru,Puma Energy - Nakuru,Diesel,105.9,175,18532.5,142.7,115547,5.6,Company Card,FUEL-54617
FUEL-00128,TRP-0128,AST-042,DRV-053,2024-10-14,00:00:00,Tanzania,Arusha,Shell - Arusha,Diesel,124.2,4850,602370.0,240.95,151288,5.7,Company Card,FUEL-76535
FUEL-00129,TRP-0129,AST-119,DRV-022,2024-07-28,00:00:00,Ethiopia,Addis Ababa,Shell - Addis Ababa,Diesel,134.4,67,9004.8,162.09,180458,5.4,Company Card,FUEL-10904
FUEL-00130,TRP-0130,AST-035,DRV-015,2024-11-19,00:00:00,Uganda,Entebbe,Kobil - Entebbe,Diesel,60.8,6200,376960.0,101.78,221943,5.2,Company Card,FUEL-76908
FUEL-00131,TRP-0131,AST-110,DRV-028,2024-09-13,00:00:00,Uganda,Gulu,Kobil - Gulu,Diesel,28.4,6200,176080.0,47.54,146518,5.1,Cash,FUEL-21707
FUEL-00132,TRP-0132,AST-081,DRV-122,2024-12-01,00:00:00,Uganda,Entebbe,Puma Energy - Entebbe,Diesel,16.8,6200,104160.0,28.12,241383,6.4,Company Card,FUEL-62262
FUEL-00133,TRP-0133,AST-060,DRV-140,2024-11-15,00:00:00,Rwanda,Butare,Total - Butare,Diesel,129.2,1470,189924.0,146.24,193823,6.2,Company Card,FUEL-72668
FUEL-00134,TRP-0134,AST-076,DRV-041,2025-02-09,00:00:00,Kenya,Eldoret,Total - Eldoret,Diesel,199.1,175,34842.5,268.29,147689,5.5,Cash,FUEL-99716
FUEL-00135,TRP-0135,AST-116,DRV-122,2024-08-21,00:00:00,Uganda,Entebbe,Kobil - Entebbe,Diesel,125.1,6200,775620.0,209.42,48124,5.5,Company Card,FUEL-35483
