invoice_id,trip_id,client_id,invoice_date,due_date,invoice_amount_usd,tax_amount_usd,total_amount_usd,payment_status,payment_date,payment_method,currency,exchange_rate_to_usd,late_payment_days,discount_applied_usd,outstanding_amount_usd
INV-0041,TRP-0041,CLT-033,2024-04-15,2024-06-14,238.32,42.9,281.22,Paid,2024-05-27,Bank Transfer,RWF,0.00077,0,0,0
INV-0042,TRP-0042,CLT-024,2024-03-10,2024-04-09,1598.4,287.71,1886.11,Paid,2024-04-12,Check,KES,0.0077,3,0,0
INV-0043,TRP-0043,CLT-037,2024-09-18,2024-10-03,2128.28,383.09,2511.37,Paid,2024-09-27,Cash,TZS,0.0004,0,106.41,0
INV-0044,TRP-0044,CLT-007,2025-01-02,2025-03-03,1738.8,312.98,2051.78,Paid,2025-02-05,Check,TZS,0.0004,0,86.94,0
INV-0045,TRP-0045,CLT-037,2024-07-07,2024-07-22,1161.44,209.06,1370.5,Paid,2024-07-24,Check,RWF,0.00077,2,0,0
INV-0046,TRP-0046,CLT-059,2024-01-14,2024-02-28,81.7,14.71,96.41,Paid,2024-02-23,Cash,KES,0.0077,0,0,0
INV-0047,TRP-0047,CLT-018,2025-01-28,2025-03-29,548.25,98.69,646.93,Paid,2025-03-04,Mobile Money,KES,0.0077,0,0,0
INV-0048,TRP-0048,CLT-069,2024-05-21,2024-06-05,511.56,92.08,603.64,Paid,2024-05-31,Check,TZS,0.0004,0,0,0
INV-0049,TRP-0049,CLT-069,2024-09-24,2024-10-09,1982.42,356.84,2339.26,Paid,2024-10-03,Mobile Money,TZS,0.0004,0,99.12,0
INV-0050,TRP-0050,CLT-055,2024-02-05,2024-02-20,6103.2,1098.58,7201.78,Paid,2024-02-24,Mobile Money,KES,0.0077,4,305.16,0
INV-0051,TRP-0051,CLT-007,2024-01-21,2024-03-21,1353.2,243.58,1596.78,Paid,2024-02-22,Cash,KES,0.0077,0,0,0
INV-0052,TRP-0052,CLT-037,2025-01-06,2025-01-21,639.3,115.07,754.37,Paid,2025-01-16,Mobile Money,KES,0.0077,0,0,0
INV-0053,TRP-0053,CLT-001,2024-04-20,2024-05-20,362.0,65.16,427.16,Paid,2024-05-23,Check,TZS,0.0004,3,0,0
INV-0054,TRP-0054,CLT-021,2025-01-14,2025-02-28,640.2,115.24,755.44,Paid,2025-03-01,Cash,UGX,0.00027,1,0,0
INV-0055,TRP-0055,CLT-056,2024-03-26,2024-04-10,200.52,36.09,236.61,Paid,2024-04-04,Bank Transfer,UGX,0.00027,0,0,0
INV-0056,TRP-0056,CLT-001,2024-01-17,2024-02-16,1734.25,312.16,2046.41,Paid,2024-02-19,Cash,UGX,0.00027,3,86.71,0
INV-0057,TRP-0057,CLT-013,2025-02-12,2025-03-29,333.24,59.98,393.22,Paid,2025-03-21,Check,TZS,0.0004,0,0,0
INV-0058,TRP-0058,CLT-014,2024-08-27,2024-10-11,819.28,147.47,966.75,Paid,2024-10-16,Check,KES,0.0077,5,0,0
INV-0059,TRP-0059,CLT-024,2024-04-09,2024-05-09,847.5,152.55,1000.05,Paid,2024-05-09,Bank Transfer,KES,0.0077,0,0,0
INV-0060,TRP-0060,CLT-006,2024-01-08,2024-02-22,1310.96,235.97,1546.93,Paid,2024-02-26,Bank Transfer,KES,0.0077,4,0,0
INV-0061,TRP-0061,CLT-044,2024-12-30,2025-01-29,1358.84,244.59,1603.43,Unpaid,,,KES,0.0077,397,0,1603.43
INV-0062,TRP-0062,CLT-042,2024-03-01,2024-04-15,751.8,135.32,887.12,Paid,2024-04-16,Cash,KES,0.0077,1,0,0
INV-0063,TRP-0063,CLT-051,2025-02-13,2025-03-30,388.5,69.93,458.43,Paid,2025-03-30,Bank Transfer,KES,0.0077,0,0,0
INV-0064,TRP-0064,CLT-075,2024-06-28,2024-08-12,1948.4,350.71,2299.11,Paid,2024-07-29,Bank Transfer,KES,0.0077,0,97.42,0
INV-0065,TRP-0065,CLT-037,2024-03-05,2024-03-20,1381.0,248.58,1629.58,Paid,2024-03-17,Cash,KES,0.0077,0,0,0
INV-0066,TRP-0066,CLT-040,2024-10-19,2024-12-18,2150.4,387.07,2537.47,Paid,2024-12-21,Bank Transfer,KES,0.0077,3,107.52,0
INV-0067,TRP-0067,CLT-044,2024-12-02,2025-01-01,3620.4,651.67,4272.07,Paid,2025-01-02,Cash,KES,0.0077,1,181.02,0
INV-0068,TRP-0068,CLT-029,2024-08-13,2024-08-28,563.1,101.36,664.46,Paid,2024-08-27,Mobile Money,TZS,0.0004,0,0,0
INV-0069,TRP-0069,CLT-029,2024-10-12,2024-10-27,2289.0,412.02,2701.02,Paid,2024-10-26,Check,ETB,0.018,0,114.45,0
INV-0070,TRP-0070,CLT-014,2024-08-03,2024-09-17,744.92,134.09,879.01,Paid,2024-09-02,Check,KES,0.0077,0,0,0
INV-0071,TRP-0071,CLT-026,2024-12-03,2025-01-02,397.32,71.52,468.84,Paid,2024-12-20,Check,UGX,0.00027,0,0,0
INV-0072,TRP-0072,CLT-066,2024-11-17,2024-12-17,216.72,39.01,255.73,Paid,2024-12-03,Mobile Money,KES,0.0077,0,0,0
INV-0073,TRP-0073,CLT-017,2025-01-01,2025-01-31,1390.32,250.26,1640.58,Paid,2025-02-03,Mobile Money,ETB,0.018,3,0,0
INV-0074,TRP-0074,CLT-017,2024-06-29,2024-07-29,685.08,123.31,808.39,Paid,2024-07-24,Mobile Money,UGX,0.00027,0,0,0
INV-0075,TRP-0075,CLT-005,2024-08-30,2024-09-29,613.26,110.39,723.65,Paid,2024-09-21,Check,UGX,0.00027,0,0,0
INV-0076,TRP-0076,CLT-048,2024-04-02,2024-06-01,117.9,21.22,139.12,Partially Paid,2024-06-11,Mobile Money,KES,0.0077,10,0,73.34
INV-0077,TRP-0077,CLT-019,2024-02-25,2024-03-26,339.0,61.02,400.02,Paid,2024-03-28,Mobile Money,ETB,0.018,2,0,0
INV-0078,TRP-0078,CLT-077,2024-07-08,2024-08-22,1422.75,256.09,1678.85,Paid,2024-08-26,Bank Transfer,RWF,0.00077,4,0,0
INV-0079,TRP-0079,CLT-005,2025-02-16,2025-03-18,330.66,59.52,390.18,Paid,2025-03-08,Check,TZS,0.0004,0,0,0
INV-0080,TRP-0080,CLT-069,2024-11-21,2024-12-06,625.68,112.62,738.3,Paid,2024-12-05,Cash,ETB,0.018,0,0,0
INV-0081,TRP-0081,CLT-044,2024-11-29,2024-12-29,133.08,23.95,157.03,Paid,2024-12-24,Check,RWF,0.00077,0,0,0
INV-0082,TRP-0082,CLT-066,2024-06-07,2024-07-07,1059.6,190.73,1250.33,Paid,2024-06-22,Check,ETB,0.018,0,0,0
INV-0083,TRP-0083,CLT-022,2024-10-02,2024-11-16,6944.4,1249.99,8194.39,Paid,2024-11-08,Mobile Money,KES,0.0077,0,347.22,0
INV-0084,TRP-0084,CLT-072,2024-09-02,2024-09-17,128.1,23.06,151.16,Unpaid,,,TZS,0.0004,531,0,151.16
INV-0085,TRP-0085,CLT-026,2024-09-28,2024-10-28,2554.0,459.72,3013.72,Paid,2024-10-23,Cash,UGX,0.00027,0,127.7,0
INV-0086,TRP-0086,CLT-005,2024-03-16,2024-04-15,205.38,36.97,242.35,Unpaid,,,TZS,0.0004,686,0,242.35
INV-0087,TRP-0087,CLT-040,2025-01-28,2025-03-29,149.16,26.85,176.01,Paid,2025-03-09,Bank Transfer,TZS,0.0004,0,0,0
INV-0088,TRP-0088,CLT-035,2024-10-21,2024-11-05,342.4,61.63,404.03,Paid,2024-11-05,Check,RWF,0.00077,0,0,0
INV-0089,TRP-0089,CLT-001,2025-02-20,2025-03-22,237.65,42.78,280.43,Paid,2025-03-25,Check,UGX,0.00027,3,0,0
INV-0090,TRP-0090,CLT-053,2024-07-29,2024-09-12,204.82,36.87,241.69,Partially Paid,2024-09-12,Bank Transfer,KES,0.0077,0,0,73.67
INV-0091,TRP-0091,CLT-022,2024-02-29,2024-04-14,897.12,161.48,1058.6,Paid,2024-04-13,Mobile Money,KES,0.0077,0,0,0
INV-0092,TRP-0092,CLT-066,2024-03-15,2024-04-14,311.22,56.02,367.24,Paid,2024-04-17,Bank Transfer,TZS,0.0004,3,0,0
INV-0093,TRP-0093,CLT-001,2024-09-21,2024-10-21,831.5,149.67,981.17,Paid,2024-10-06,Cash,KES,0.0077,0,0,0
INV-0094,TRP-0094,CLT-002,2024-12-31,2025-02-14,434.4,78.19,512.59,Paid,2025-02-16,Mobile Money,KES,0.0077,2,0,0
INV-0095,TRP-0095,CLT-027,2024-12-01,2025-01-30,120.36,21.66,142.02,Paid,2025-01-07,Bank Transfer,KES,0.0077,0,0,0
INV-0096,TRP-0096,CLT-002,2025-02-22,2025-04-08,516.6,92.99,609.59,Paid,2025-04-10,Cash,UGX,0.00027,2,0,0
INV-0097,TRP-0097,CLT-036,2024-10-17,2024-11-16,575.2,103.54,678.74,Paid,2024-11-02,Check,KES,0.0077,0,0,0
INV-0098,TRP-0098,CLT-043,2024-08-12,2024-08-27,1262.0,227.16,1489.16,Paid,2024-08-30,Check,KES,0.0077,3,0,0
INV-0099,TRP-0099,CLT-046,2024-02-11,2024-03-12,1143.1,205.76,1348.86,Paid,2024-03-13,Check,KES,0.0077,1,0,0
INV-0100,TRP-0100,CLT-008,2024-08-13,2024-10-12,1259.3,226.67,1485.97,Paid,2024-09-28,Mobile Money,UGX,0.00027,0,0,0
INV-0101,TRP-0101,CLT-029,2025-01-21,2025-02-05,1224.44,220.4,1444.84,Paid,2025-02-04,Check,KES,0.0077,0,0,0
INV-0102,TRP-0102,CLT-004,2024-11-25,2024-12-25,544.5,98.01,642.51,Paid,2024-12-12,Check,KES,0.0077,0,0,0
INV-0103,TRP-0103,CLT-035,2024-07-10,2024-07-25,1555.6,280.01,1835.61,Paid,2024-07-26,Bank Transfer,TZS,0.0004,1,0,0
INV-0104,TRP-0104,CLT-048,2024-11-14,2025-01-13,222.12,39.98,262.1,Unpaid,,,TZS,0.0004,413,0,262.1
INV-0105,TRP-0105,CLT-036,2024-07-05,2024-08-04,287.0,51.66,338.66,Paid,2024-07-30,Mobile Money,TZS,0.0004,0,0,0
INV-0106,TRP-0106,CLT-013,2024-02-24,2024-04-09,130.68,23.52,154.2,Paid,2024-04-10,Bank Transfer,RWF,0.00077,1,0,0
INV-0107,TRP-0107,CLT-027,2024-06-14,2024-08-13,791.78,142.52,934.3,Paid,2024-07-30,Cash,TZS,0.0004,0,0,0
INV-0108,TRP-0108,CLT-042,2025-01-20,2025-03-06,581.88,104.74,686.62,Unpaid,,,KES,0.0077,361,0,686.62
INV-0109,TRP-0109,CLT-044,2024-03-24,2024-04-23,925.54,166.6,1092.14,Paid,2024-04-13,Cash,KES,0.0077,0,0,0
INV-0110,TRP-0110,CLT-026,2024-04-30,2024-05-30,1287.6,231.77,1519.37,Paid,2024-05-25,Bank Transfer,UGX,0.00027,0,0,0
INV-0111,TRP-0111,CLT-044,2024-04-10,2024-05-10,1398.1,251.66,1649.76,Partially Paid,2024-05-17,Check,ETB,0.018,7,0,622.57
INV-0112,TRP-0112,CLT-013,2024-08-28,2024-10-12,2097.2,377.5,2474.7,Paid,2024-09-29,Bank Transfer,KES,0.0077,0,104.86,0
INV-0113,TRP-0113,CLT-040,2024-08-06,2024-10-05,256.9,46.24,303.14,Paid,2024-09-16,Mobile Money,RWF,0.00077,0,0,0
INV-0114,TRP-0114,CLT-036,2024-03-31,2024-04-30,612.9,110.32,723.22,Paid,2024-04-22,Check,UGX,0.00027,0,0,0
INV-0115,TRP-0115,CLT-025,2024-02-29,2024-03-15,4759.2,856.66,5615.86,Paid,2024-03-16,Check,TZS,0.0004,1,237.96,0
INV-0116,TRP-0116,CLT-035,2024-06-20,2024-07-05,369.25,66.47,435.72,Paid,2024-07-03,Bank Transfer,RWF,0.00077,0,0,0
INV-0117,TRP-0117,CLT-069,2024-01-25,2024-02-09,386.76,69.62,456.38,Paid,2024-02-09,Check,RWF,0.00077,0,0,0
INV-0118,TRP-0118,CLT-009,2024-01-16,2024-03-01,478.05,86.05,564.1,Paid,2024-02-18,Mobile Money,UGX,0.00027,0,0,0
INV-0119,TRP-0119,CLT-006,2024-05-23,2024-07-07,1368.62,246.35,1614.97,Paid,2024-06-19,Check,KES,0.0077,0,0,0
INV-0120,TRP-0120,CLT-036,2024-11-22,2024-12-22,616.32,110.94,727.26,Paid,2024-12-13,Bank Transfer,UGX,0.00027,0,0,0
INV-0121,TRP-0121,CLT-075,2024-04-25,2024-06-09,427.6,76.97,504.57,Unpaid,,,RWF,0.00077,631,0,504.57
INV-0122,TRP-0122,CLT-074,2024-04-21,2024-05-06,2542.4,457.63,3000.03,Paid,2024-05-04,Check,KES,0.0077,0,127.12,0
INV-0123,TRP-0123,CLT-074,2024-06-20,2024-07-05,847.56,152.56,1000.12,Unpaid,,,UGX,0.00027,605,0,1000.12
INV-0124,TRP-0124,CLT-005,2024-02-01,2024-03-02,814.8,146.66,961.46,Paid,2024-02-20,Mobile Money,KES,0.0077,0,0,0
INV-0125,TRP-0125,CLT-029,2024-06-21,2024-07-06,612.6,110.27,722.87,Paid,2024-07-06,Cash,KES,0.0077,0,0,0
INV-0126,TRP-0126,CLT-053,2025-02-13,2025-03-30,669.9,120.58,790.48,Paid,2025-04-03,Cash,KES,0.0077,4,0,0
INV-0127,TRP-0127,CLT-009,2024-07-06,2024-08-20,300.2,54.04,354.24,Paid,2024-08-23,Bank Transfer,KES,0.0077,3,0,0
INV-0128,TRP-0128,CLT-051,2024-10-16,2024-11-30,367.35,66.12,433.47,Paid,2024-11-28,Bank Transfer,TZS,0.0004,0,0,0
INV-0129,TRP-0129,CLT-051,2024-07-30,2024-09-13,7945.2,1430.14,9375.34,Paid,2024-08-23,Mobile Money,ETB,0.018,0,397.26,0
INV-0130,TRP-0130,CLT-005,2024-11-22,2024-12-22,1537.2,276.7,1813.9,Paid,2024-12-20,Mobile Money,UGX,0.00027,0,0,0
INV-0131,TRP-0131,CLT-026,2024-09-16,2024-10-16,1453.5,261.63,1715.13,Paid,2024-10-15,Check,UGX,0.00027,0,0,0
INV-0132,TRP-0132,CLT-022,2024-12-03,2025-01-17,3963.6,713.45,4677.05,Paid,2025-01-17,Mobile Money,UGX,0.00027,0,198.18,0
INV-0133,TRP-0133,CLT-008,2024-11-17,2025-01-16,840.28,151.25,991.53,Paid,2024-12-28,Mobile Money,RWF,0.00077,0,0,0
INV-0134,TRP-0134,CLT-033,2025-02-12,2025-04-13,193.68,34.86,228.54,Paid,2025-03-17,Check,KES,0.0077,0,0,0
INV-0135,TRP-0135,CLT-066,2024-08-24,2024-09-23,2072.4,373.03,2445.43,Paid,2024-09-11,Bank Transfer,UGX,0.00027,0,103.62,0
INV-0136,TRP-0136,CLT-077,2025-02-18,2025-04-04,444.2,79.96,524.16,Paid,2025-04-01,Check,UGX,0.00027,0,0,0
INV-0137,TRP-0137,CLT-017,2024-09-13,2024-10-13,987.12,177.68,1164.8,Paid,2024-10-04,Mobile Money,KES,0.0077,0,0,0
INV-0138,TRP-0138,CLT-035,2024-05-26,2024-06-10,2068.4,372.31,2440.71,Partially Paid,2024-06-10,Cash,UGX,0.00027,0,0,1090.53
INV-0139,TRP-0139,CLT-058,2024-05-30,2024-07-29,605.7,109.03,714.73,Paid,2024-07-27,Check,KES,0.0077,0,0,0
INV-0140,TRP-0140,CLT-020,2024-03-06,2024-05-05,1487.85,267.81,1755.66,Paid,2024-05-06,Cash,UGX,0.00027,1,0,0
INV-0141,TRP-0141,CLT-024,2024-12-21,2025-01-20,785.7,141.43,927.13,Paid,2025-01-25,Bank Transfer,KES,0.0077,5,0,0
INV-0142,TRP-0142,CLT-044,2024-03-23,2024-04-22,540.24,97.24,637.48,Paid,2024-04-27,Bank Transfer,TZS,0.0004,5,0,0
INV-0143,TRP-0143,CLT-005,2024-12-02,2025-01-01,6871.2,1236.82,8108.02,Paid,2025-01-02,Cash,TZS,0.0004,1,343.56,0
INV-0144,TRP-0144,CLT-008,2024-09-01,2024-10-31,441.56,79.48,521.04,Unpaid,,,ETB,0.018,487,0,521.04
INV-0145,TRP-0145,CLT-022,2024-12-05,2025-01-19,397.32,71.52,468.84,Paid,2025-01-08,Cash,RWF,0.00077,0,0,0
INV-0146,TRP-0146,CLT-002,2024-09-05,2024-10-20,559.08,100.63,659.71,Paid,2024-10-06,Check,UGX,0.00027,0,0,0
INV-0147,TRP-0147,CLT-007,2024-12-06,2025-02-04,1562.8,281.3,1844.1,Paid,2025-01-08,Mobile Money,KES,0.0077,0,0,0
INV-0148,TRP-0148,CLT-075,2024-03-30,2024-05-14,664.4,119.59,783.99,Partially Paid,2024-05-15,Bank Transfer,ETB,0.018,1,0,460.25
INV-0149,TRP-0149,CLT-036,2024-04-21,2024-05-21,5508.0,991.44,6499.44,Paid,2024-05-17,Check,UGX,0.00027,0,275.4,0
INV-0150,TRP-0150,CLT-020,2024-05-20,2024-07-19,1059.6,190.73,1250.33,Paid,2024-06-20,Mobile Money,UGX,0.00027,0,0,0
INV-0151,TRP-0151,CLT-013,2024-03-18,2024-05-02,875.0,157.5,1032.5,Paid,2024-04-13,Cash,KES,0.0077,0,0,0
INV-0152,TRP-0152,CLT-056,2024-06-14,2024-06-29,143.1,25.76,168.86,Paid,2024-06-23,Mobile Money,KES,0.0077,0,0,0
INV-0153,TRP-0153,CLT-025,2024-08-04,2024-08-19,1477.56,265.96,1743.52,Paid,2024-08-16,Bank Transfer,KES,0.0077,0,0,0
INV-0154,TRP-0154,CLT-056,2024-09-10,2024-09-25,952.02,171.36,1123.38,Paid,2024-09-23,Mobile Money,ETB,0.018,0,0,0
INV-0155,TRP-0155,CLT-030,2025-01-14,2025-02-28,1158.8,208.58,1367.38,Paid,2025-03-01,Mobile Money,UGX,0.00027,1,0,0
INV-0156,TRP-0156,CLT-008,2025-01-29,2025-03-30,2237.9,402.82,2640.72,Paid,2025-03-11,Cash,KES,0.0077,0,111.9,0
INV-0157,TRP-0157,CLT-007,2024-07-27,2024-09-25,1633.6,294.05,1927.65,Unpaid,,,KES,0.0077,523,0,1927.65
INV-0158,TRP-0158,CLT-016,2024-12-04,2025-01-18,934.5,168.21,1102.71,Paid,2025-01-06,Cash,KES,0.0077,0,0,0
INV-0159,TRP-0159,CLT-024,2024-09-13,2024-10-13,1698.0,305.64,2003.64,Paid,2024-10-11,Bank Transfer,KES,0.0077,0,84.9,0
INV-0160,TRP-0160,CLT-043,2024-05-26,2024-06-10,1445.2,260.14,1705.34,Paid,2024-06-13,Mobile Money,KES,0.0077,3,0,0
INV-0161,TRP-0161,CLT-010,2024-04-28,2024-06-27,5860.8,1054.94,6915.74,Paid,2024-06-21,Check,KES,0.0077,0,293.04,0
INV-0162,TRP-0162,CLT-001,2024-05-20,2024-06-19,278.95,50.21,329.16,Paid,2024-06-10,Mobile Money,KES,0.0077,0,0,0
INV-0163,TRP-0163,CLT-006,2024-10-11,2024-11-25,820.16,147.63,967.79,Paid,2024-11-20,Check,KES,0.0077,0,0,0
INV-0164,TRP-0164,CLT-056,2024-10-08,2024-10-23,4016.4,722.95,4739.35,Paid,2024-10-16,Mobile Money,KES,0.0077,0,200.82,0
INV-0165,TRP-0165,CLT-053,2024-09-17,2024-11-01,528.88,95.2,624.08,Unpaid,,,KES,0.0077,486,0,624.08
INV-0166,TRP-0166,CLT-043,2024-03-25,2024-04-09,2466.0,443.88,2909.88,Partially Paid,2024-04-17,Mobile Money,KES,0.0077,8,0,1985.31
INV-0167,TRP-0167,CLT-020,2025-02-10,2025-04-11,1459.75,262.75,1722.51,Paid,2025-04-13,Check,UGX,0.00027,2,0,0
INV-0168,TRP-0168,CLT-001,2024-04-23,2024-05-23,1286.5,231.57,1518.07,Paid,2024-05-27,Bank Transfer,KES,0.0077,4,0,0
INV-0169,TRP-0169,CLT-025,2024-07-09,2024-07-24,10154.4,1827.79,11982.19,Paid,2024-07-19,Mobile Money,ETB,0.018,0,507.72,0
INV-0170,TRP-0170,CLT-019,2024-11-29,2024-12-29,374.8,67.46,442.26,Partially Paid,2025-01-07,Mobile Money,KES,0.0077,9,0,194.22
INV-0171,TRP-0171,CLT-048,2024-10-06,2024-12-05,331.3,59.63,390.93,Paid,2024-11-17,Bank Transfer,RWF,0.00077,0,0,0
INV-0172,TRP-0172,CLT-055,2024-03-16,2024-03-31,1604.4,288.79,1893.19,Paid,2024-03-26,Cash,ETB,0.018,0,0,0
INV-0173,TRP-0173,CLT-077,2024-02-16,2024-04-01,415.2,74.74,489.94,Paid,2024-03-15,Mobile Money,UGX,0.00027,0,0,0
INV-0174,TRP-0174,CLT-022,2025-02-09,2025-03-26,2095.2,377.14,2472.34,Paid,2025-03-20,Bank Transfer,RWF,0.00077,0,104.76,0
INV-0175,TRP-0175,CLT-005,2024-11-06,2024-12-06,882.9,158.92,1041.82,Paid,2024-12-09,Mobile Money,KES,0.0077,3,0,0
INV-0176,TRP-0176,CLT-007,2024-06-30,2024-08-29,1342.8,241.7,1584.5,Paid,2024-08-02,Cash,RWF,0.00077,0,0,0
INV-0177,TRP-0177,CLT-066,2024-11-01,2024-12-01,965.0,173.7,1138.7,Paid,2024-12-04,Mobile Money,KES,0.0077,3,0,0
INV-0178,TRP-0178,CLT-066,2024-02-28,2024-03-29,2598.4,467.71,3066.11,Paid,2024-04-01,Mobile Money,KES,0.0077,3,129.92,0
