Category,Item,Availability (1-10),Tactical Use-Case
Adhesives & Tools,Scissors (Sharp),9,"Floor tracks, """"lasers,"""" wall art"
Adhesives & Tools,Tape (Wide),8,"Floor tracks, """"lasers,"""" wall art"
Adhesives & Tools,Glue (Stick),7,"Sensory bins, sorting games"
Adhesives & Tools,Pencil (Black),9,"Floor tracks, """"lasers,"""" wall art"
Adhesives & Tools,Scissors (Round),8,"Floor tracks, """"lasers,"""" wall art"
Adhesives & Tools,Glue (Spray),8,"Repairing """"damaged"""" spacecraft"
Adhesives & Tools,Tape (Fishing),9,"Floor tracks, """"lasers,"""" wall art"
Adhesives & Tools,Pencil (Colored),9,"Floor tracks, """"lasers,"""" wall art"
Adhesives & Tools,Scissors (Sharp),8,"Floor tracks, """"lasers,"""" wall art"
Adhesives & Tools,Glue (Liquid),8,"Repairing """"damaged"""" spacecraft"
Adhesives & Tools,Tape (Narrow),9,"Floor tracks, """"lasers,"""" wall art"
Adhesives & Tools,Pencil (Black),9,"Floor tracks, """"lasers,"""" wall art"
Adhesives & Tools,Scissors (Round),8,"Floor tracks, """"lasers,"""" wall art"
Kitchen/Pantry,Uncooked Rice,8,"Sensory bins, sorting games"
Kitchen/Pantry,Uncooked Beans,8,"Sensory bins, sorting games"
Kitchen/Pantry,Flour,10,"""""Cloud dough,"""" footprint tracking"
Kitchen/Pantry,Muffin Tin,9,"Sorting games, """"control panels"""""
Kitchen/Pantry,Aluminum Foil,9,"Shiny """"alien"""" armor, sculpting"
Kitchen/Pantry,Spray Bottle (Water),7,"""""Firefighter"""" training, plant misting"
Kitchen/Pantry,Hair Ties / Rubber Bands,9,"Flinging targets, grouping toys"
Kitchen/Pantry,Balloons,5,"""""Don\'t touch the floor,"""" static hair"
Kitchen/Pantry,Shaving Cream,6,"""""Snow"""" play on a tray"
Kitchen/Pantry,Bubble Wrap,4,"""""Landmine"""" walking (popping)"
Kitchen/Pantry,Pool Noodle,3,"Swords, tunnels, goal posts"
Kitchen/Pantry,Uncooked Pasta,8,"Sensory bins, sorting games"
Kitchen/Pantry,Canned Goods,9,"Sensory bins, sorting games"
Kitchen/Pantry,Olive Oil,8,"Sensory bins, sorting games"
Kitchen/Pantry,Spices,9,"Sensory bins, sorting games"
Kitchen/Pantry,Sugar,8,"Sensory bins, sorting games"
Kitchen/Pantry,Flour (Whole Wheat),9,"""""Cloud dough,"""" footprint tracking"
Kitchen/Pantry,Muffin Tin,9,"Sorting games, """"control panels"""""
Kitchen/Pantry,Uncooked Rice (Organic),8,"Sensory bins, sorting games"
Kitchen/Pantry,Uncooked Beans (Black),8,"Sensory bins, sorting games"
Toys & Games,Toy Car,8,"Racing track, obstacle course"
Toys & Games,Building Blocks,9,"Bridge building, tower construction"
Toys & Games,Puzzles,8,"Sensory bins, sorting games"
Toys & Games,Dolls,9,"Dress-up, pretend play"
Toys & Games,Action Figures,8,"Storytelling, imaginative play"
Toys & Games,Board Games,9,"Strategy, problem-solving"
Toys & Games,Card Games,8,"Strategy, problem-solving"
Toys & Games,Puzzle Books,9,"Sensory bins, sorting games"
Toys & Games,Stuffed Animals,9,"Cuddle, comfort"
Toys & Games,Playdough,8,"Sensory bins, sorting games"
Toys & Games,Play Kitchen,9,"Imaginative play, role-playing"
Toys & Games,Toy Robot,8,"Racing track, obstacle course"
Toys & Games,Play Tent,9,"Imaginative play, fort building"
Toys & Games,Bubbles,5,"""""Fun"""" bubbles, blowing bubbles"
Toys & Games,Play Tents (Multiple),9,"Imaginative play, fort building"
Toys & Games,Toy Train,8,"Racing track, obstacle course"
Toys & Games,Play Kitchen (Large),9,"Imaginative play, role-playing"
Toys & Games,Toy Figures,9,"Storytelling, imaginative play"
Toys & Games,Play Tents (Tented),9,"Imaginative play, fort building"
Toys & Games,Toy Cars (Multiple),8,"Racing track, obstacle course"
Science & Technology,Microscope,9,"Bug catching, microscopic exploration"
Science & Technology,Telescope,8,"Stargazing, astronomical observation"
Science & Technology,Robot Arm,9,"Robotics, programming"
Science & Technology,Computer,9,"Coding, app development"
Science & Technology,Microscope (Digital),8,"Bug catching, microscopic exploration"
Science & Technology,Binoculars,8,"Bird watching, outdoor exploration"
Science & Technology,Science Kit,9,"Experimentation, scientific discovery"
Science & Technology,LED Lights,8,"Glow-in-the-dark, night-time exploration"
Science & Technology,Robot,9,"Robotics, programming"
Science & Technology,Computer (Tablet),9,"Coding, app development"
Science & Technology,Microscope (Digital),8,"Bug catching, microscopic exploration"
Science & Technology,Binoculars (Binocular),8,"Bird watching, outdoor exploration"
Science & Technology,Science Kit (Advanced),9,"Experimentation, scientific discovery"
Science & Technology,LED Lights (Color-Changing),8,"Glow-in-the-dark, night-time exploration"
Science & Technology,Robot Arm (Advanced),9,"Robotics, programming"
Science & Technology,Computer (Desktop),9,"Coding, app development"
Science & Technology,Microscope (Digital),8,"Bug catching, microscopic exploration"
Science & Technology,Binoculars (Binocular),8,"Bird watching, outdoor exploration"
Science & Technology,Science Kit (Advanced),9,"Experimentation, scientific discovery"
Science & Technology,LED Lights (Glow-in-the-Dark),8,"Glow-in-the-dark, night-time exploration"
Art & Creativity,Paints,9,"Artistic expression, creative painting"
Art & Creativity,Markers,8,"Artistic expression, creative drawing"
Art & Creativity,Crayons,7,"Artistic expression, creative coloring"
Art & Creativity,Glue (Craft),8,"Crafting, DIY projects"
Art & Creativity,Scissors (Sharp),9,"Crafting, DIY projects"
Art & Creativity,Tape (Craft),8,"Crafting, DIY projects"
Art & Creativity,Pencils (Colored),9,"Artistic expression, creative writing"
Art & Creativity,Paper (Construction),8,"Crafting, DIY projects"
Art & Creativity,Stamps,8,"Artistic expression, creative stamping"
Art & Creativity,Stickers,9,"Artistic expression, creative decorating"
Art & Creativity,Paint (Watercolor),8,"Artistic expression, creative painting"
Art & Creativity,Markers (Fine),8,"Artistic expression, creative drawing"
Art & Creativity,Crayons (Wax),7,"Artistic expression, creative coloring"
Art & Creativity,Glue (Craft),8,"Crafting, DIY projects"
Art & Creativity,Scissors (Round),9,"Crafting, DIY projects"
Art & Creativity,Tape (Craft),8,"Crafting, DIY projects"
Art & Creativity,Pencils (Black),9,"Artistic expression, creative writing"
Art & Creativity,Paper (Cardstock),8,"Crafting, DIY projects"
Art & Creativity,Stamps (Multiple),8,"Artistic expression, creative stamping"
Art & Creativity,Stickers (Colorful),9,"Artistic expression, creative decorating"
Outdoor & Nature,Gardening Tools,9,"Gardening, outdoor exploration"
Outdoor & Nature,Seeds,8,"Gardening, outdoor exploration"
Outdoor & Nature,Plants,9,"Gardening, outdoor exploration"
Outdoor & Nature,Bug Catcher,8,"Bug catching, microscopic exploration"
Outdoor & Nature,Magnifying Glass,8,"Bug catching, microscopic exploration"
Outdoor & Nature,Outdoor Toys,9,"Outdoor play, exploration"
Outdoor & Nature,Sidewalk Chalk,8,"Artistic expression, creative sidewalk art"
Outdoor & Nature,Water Bottles,8,"Hydration, outdoor exploration"
Outdoor & Nature,Sunscreen,9,"Sun protection, outdoor exploration"
Outdoor & Nature,Bug Catcher (Advanced),9,"Bug catching, microscopic exploration"
Outdoor & Nature,Magnifying Glass (Digital),8,"Bug catching, microscopic exploration"
Outdoor & Nature,Outdoor Toys (Multiple),9,"Outdoor play, exploration"
Outdoor & Nature,Sidewalk Chalk (Wax),8,"Artistic expression, creative sidewalk art"
Outdoor & Nature,Water Bottles (BPA-Free),8,"Hydration, outdoor exploration"
Outdoor & Nature,Sunscreen (Broad-Spectrum),9,"Sun protection, outdoor exploration"
Outdoor & Nature,Bug Catcher (Advanced),9,"Bug catching, microscopic exploration"
Outdoor & Nature,Magnifying Glass (Digital),8,"Bug catching, microscopic exploration"
Outdoor & Nature,Outdoor Toys (Advanced),9,"Outdoor play, exploration"
Outdoor & Nature,Sidewalk Chalk (Color-Changing),8,"Artistic expression, creative sidewalk art"
Outdoor & Nature,Water Bottles (Insulated),8,"Hydration, outdoor exploration"
